rowname,Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,Estimate.pred_climb_difficulty,Est.Error.pred_climb_difficulty,Q2.5.pred_climb_difficulty,Q97.5.pred_climb_difficulty,n
Milan Jonathan,-0.22964160677403372,1.823537664942333,-3.9468648657038288,3.190970667397064,0.00432508041926093,0.1254436974605757,-0.24014879688441168,0.24691764410388328,8
Millasseau Guillaume,-0.23488172661850798,1.802714851343613,-3.9264853000049675,3.0937215611455926,0.00804287631906817,0.12420956853348519,-0.232199396698616,0.2523786437484852,7
Million Amanuel,-0.04924777476978044,1.9070232146091932,-3.814432558478793,3.654507312254748,-7.508564017404495e-5,0.12673717114622873,-0.2480396954544563,0.24910932598745253,2
Miltiadis Andreas,-0.05339017684522707,1.9418021955808331,-3.8337320110705946,3.699311888180523,0.0013344013978141573,0.12691707298216173,-0.24801132193743386,0.24957310953049686,1
Minali Riccardo,2.8386121341716137,0.5560073435374886,1.6576734552263723,3.831632833084121,-0.134745613373559,0.09832857028051885,-0.3351902234975177,0.04990889003791711,93
Mini Emanuel,-0.0770628132364485,1.9067112910655226,-3.895431831764454,3.558604165382375,0.00237925777069677,0.12493595195205384,-0.24276820141031855,0.24741022217523576,2
Minnaard Marco,-0.8368997451446798,1.5586881307015892,-4.133961737981589,1.9205311482004648,-0.006228168237640981,0.10486643964441597,-0.22369771670789484,0.18545847661349463,95
Mino Gustavo Adolfo,-0.095626401990418,1.9169016350540835,-3.973574326159578,3.5763321930224654,0.002437347273883751,0.12753457080547817,-0.24754624905001588,0.2534960270896971,3
Mirafuentes Eugenio,-0.04034551160247784,1.9586823727407057,-3.9011384777747677,3.788511785006444,7.801827879315999e-4,0.12841156857203304,-0.25313134252608555,0.25230084675337944,1
Miranda Gonzalo Sabas,-0.16521479393514574,1.8396239051862306,-3.8512805292246237,3.319363563929195,0.0035266479940818047,0.12426906830990138,-0.2395153998939435,0.24749609110806892,5
Mirri Ivan,-0.12951418172968565,1.8724083089088215,-3.9096316617193865,3.4332036032944053,0.005033796051094748,0.12522119926531045,-0.23974175750810064,0.2519748931736979,3
Mirza Yousif,-0.6916365179420756,1.6384091617253846,-4.13031235599272,2.215028325283567,0.016933575308043434,0.1200258193406128,-0.2176370228589842,0.2539697440053951,43
Misbah Muhsin Al Redha,-0.15493919620327457,1.8637305415058139,-3.8950026704523837,3.357324181677333,0.005433570979360061,0.12708872389490036,-0.24314530085308353,0.2552657890541037,5
Mitri James,-0.5032618690836633,1.7130113835300897,-4.095060823286212,2.5932502747406,0.008251001607802367,0.12124376033399295,-0.23001167232734618,0.2440340312322153,28
Mizuno Kyohei,-0.11846778572864985,1.8713603148568714,-3.8258143489309764,3.4356357059567606,0.0020279504631977798,0.12538009560192553,-0.24345138753563095,0.24905398152644162,3
Mobach Jarno,-0.5250908372939472,1.7021307118703484,-4.064349797121074,2.5013888579935446,0.01333418224560516,0.1227347534515805,-0.22653637483313918,0.2536568147578924,26
Mobberley Samuel,-0.20588473627581177,1.819893255876911,-3.9031569197245717,3.1966934769580417,0.006763289911714954,0.12554780991864603,-0.24014124588421235,0.2556805376624455,6
Moberg Christian,-0.37181078037585097,1.7345493021044316,-3.948297637971955,2.7726465363676818,0.013305315513904528,0.12452579389202081,-0.22753740397971703,0.25837692095599946,13
Modlitba Vojtech,-0.14799925269000475,1.869607296997617,-3.927048145019178,3.4138276300054304,0.0033899576552595873,0.12679318365945058,-0.24559680413248686,0.25387223328180647,4
Modolo Sacha,3.8580037835916228,0.40619490681068937,3.0348039272217417,4.620364832367896,-0.2071630263590981,0.0869772040051629,-0.3897543784911456,-0.046944518541879046,121
Mohd Bakri Sofian Nabil,-0.07994776238188638,1.9012030824346602,-3.856778138073977,3.597866848032348,0.0024846706296015792,0.12726222043039917,-0.24843929529740405,0.2506068423855399,2
Mohd Zariff Muhammad Nur Aiman,-0.08124412956049669,1.9019765535133832,-3.883779786419617,3.534627343099349,0.0036958335743465646,0.12614902768800434,-0.24012665459485333,0.24871835504427559,2
Mohoric Matej,3.9423425022380627,0.37894779379045457,3.171840092075877,4.647028130318631,-0.10086475080887555,0.05723312427020495,-0.22187177109055878,4.1493463957720527e-4,136
Moinard Amael,-0.8987152888062137,1.5468422941959126,-4.161765955201614,1.8113026205728378,-0.006983251607914631,0.1056699595044915,-0.2255893524290742,0.18638505849732215,110
Mol Wesley,-0.1582598868447269,1.8154232611559207,-3.806197737805797,3.2772760859946235,0.006024160305264755,0.12565318935975014,-0.2389687751321056,0.24988368345312573,5
Molano Juan Sebastian,4.2258687191933575,0.45589403170407833,3.2922390855091854,5.076792023518104,-0.13627189218375346,0.07444660660776876,-0.29168984206388554,-6.596809133383504e-4,71
Molano Julian David,2.6220007194295545,1.6169600653173446,-0.719279908486249,5.552810612661447,-0.08769853065122396,0.12234850054790646,-0.3294300876747317,0.15215773653793815,5
Molard Rudy,1.8125868131154959,0.8434752282962421,-0.027847870394060475,3.2922427584212755,-0.05773211201957947,0.08043022050776502,-0.22826295649928116,0.0860675744576311,133
Molenaar Alex,-0.2888941911787864,1.790915229260416,-3.9127012775921792,3.0256471116482646,0.008714922690030578,0.12405236048418762,-0.22946607927190057,0.24964805872302634,11
Molina Antonio,-0.7338205475584965,1.603131934795487,-4.065949080520776,2.1086369737688377,0.0059744354807808086,0.11442141439722825,-0.22373887469972803,0.22713076807356877,61
Molina Wilmar,-0.07542890557722322,1.907943182221815,-3.8402466119552066,3.6027654531376854,0.0021895429573517604,0.12554130047111897,-0.24486747514071378,0.249925216345498,2
Molinari Kevin,-0.16589630609633838,1.8524194789844013,-3.8767044815993046,3.290077538828333,0.005750988267299312,0.12489023975572097,-0.23671029806077307,0.25297004280467333,4
Mollema Bauke,3.4227902500730965,0.40782716604088004,2.5844912686677795,4.188840185043939,0.0015238751801721915,0.03741124064356871,-0.07559388089135083,0.0716478133935568,146
Molly Kenny,-0.8591435459046378,1.566908877323474,-4.203692761386206,1.8692161761644952,0.024372213241491872,0.12106106412808158,-0.21334898808343009,0.2671670449271324,70
Monaco Alessandro,-0.4177677016723501,1.7455154357562748,-4.0004094557562,2.7686865923793866,0.00426092463736223,0.1231496886454026,-0.2391484334935716,0.2451439055806946,23
Moncassin Maxence,-0.540415838877679,1.6588741445205017,-4.01255509455304,2.423618020746673,0.015923834999815523,0.12101432466719594,-0.22322738830791788,0.25489059013528226,28
Monfort Maxime,1.0357361744168507,0.9988659886294898,-1.107083402775858,2.73992581529222,-0.019721218473774827,0.09058256089489715,-0.20596580310566437,0.1488929543176482,135
Moniquet Sylvain,-0.47120368752329256,1.6799707228724108,-3.9659930652471673,2.587342871092201,0.013693652685433879,0.1250784678852903,-0.23047863677196392,0.2595159890986253,24
Monk Cyrus,-0.5174332497846622,1.6649953735555578,-3.9983822247748506,2.4645169749841545,0.014904016584465175,0.12253501333752713,-0.22388451964220069,0.2569336179582776,26
Montaguti Matteo,-0.9299509914511314,1.5607487925169858,-4.227551076364492,1.8367736762059408,0.006839649923672514,0.11218856224430872,-0.2187906820711148,0.2220323591460122,97
Montana Freddy Emir,-0.3341621483987164,1.7768929565375982,-3.956771257987088,2.950946397793032,0.003686266151950093,0.12202959183295403,-0.23299585992165972,0.2443777834677459,16
Montenegro Jorge,-0.22692827794330375,1.8516796260654824,-3.965197345268044,3.2547143150308098,0.0019376074670357905,0.12529100154133122,-0.24206585840585565,0.2482987488675539,10
Montenegro Santiago,-0.42586814846598575,1.7266016048747086,-3.959030340518782,2.6921294897271966,0.005611577968236352,0.12069757127334546,-0.23041155897556026,0.24500407635645177,22
Montes Francisco,-0.40604958756360365,1.7411488272861224,-3.998116342259045,2.7536941816182203,0.009093186659696016,0.12262984200681042,-0.2314505978153371,0.24906829606798894,18
Montiel Rafael Anibal,-0.24852879983983453,1.8127811345861917,-3.8639831934388162,3.159185387069952,0.0020815559659504725,0.12464055183972467,-0.2441350446182004,0.24364503687287867,11
Montivero Luciano,-0.28743516714879164,1.7829390562656589,-3.9324214065812453,2.9916898987809826,0.0065810162195999436,0.1235755700722823,-0.23558544069415438,0.25048003173660854,12
Montoya Cristhian,1.06127998328186,1.5897167096710565,-2.2422560729285763,3.931447320146322,0.08554206205789143,0.12161886663710052,-0.15186283840380918,0.32642990869295835,9
Montoya Javier Ignacio,-0.6132792555323276,1.6448752102384228,-4.027101767009804,2.3185629045896223,0.007926388257253563,0.117104436849474,-0.2228714431799984,0.2339208161900882,41
Moore Darnell,-0.060515423022893894,1.9203932187400057,-3.8729483790269974,3.655181384510334,0.00271396691853634,0.12692786455905103,-0.24217274603642752,0.24954594085126375,1
