bib,low,high,low_dist,high_dist,diff,length,meters_sec,climb,zscore
162,2019-07-25T14:21:22Z,2019-07-25T14:48:36Z,18.601381706927754,27.72086338561728,27.2333333333333,9.119481678689528,5.581078138732881,galibier,0.5733684582267147
163,2019-07-25T14:38:56Z,2019-07-25T15:12:14Z,18.83,27.68381745126994,33.3,8.853817451269943,4.431340065700673,galibier,-0.5763696148054933
164,2019-07-25T14:41:28Z,2019-07-25T15:12:14Z,18.711816925102816,27.63235978230241,30.7666666666667,8.920542857199592,4.8323634112673846,galibier,-0.17534626923878172
168,2019-07-25T14:28:40Z,2019-07-25T15:03:45Z,18.866261941959287,27.652311943896677,35.0833333333333,8.78605000193739,4.173895487856242,galibier,-0.8338141926499238
171,2019-07-25T14:41:28Z,2019-07-25T15:12:14Z,18.91,27.645559152243937,30.7666666666667,8.735559152243937,4.732155553761613,galibier,-0.27555412674455315
174,2019-07-25T14:31:11Z,2019-07-25T15:03:11Z,18.702111706276114,27.631004046269773,32,8.92889233999366,4.650464760413365,galibier,-0.3572449200928016
175,2019-07-25T14:41:28Z,2019-07-25T15:12:14Z,18.83,27.622379063546187,30.7666666666667,8.79237906354619,4.762935570718412,galibier,-0.2447741097877545
181,2019-07-25T14:31:28Z,2019-07-25T15:04:28Z,18.77571736092024,27.684202442889717,33,8.908485081969477,4.499234889883574,galibier,-0.5084747906225919
186,2019-07-25T14:31:28Z,2019-07-25T15:04:28Z,18.641190500910067,27.6804544118803,33,9.039263910970234,4.565284803520321,galibier,-0.44242487698584565
191,2019-07-25T14:26:42Z,2019-07-25T14:51:52Z,18.945986922707693,27.680309345913933,25.1666666666667,8.73432242320624,5.784319485567046,galibier,0.7766098050608798
192,2019-07-25T14:36:33Z,2019-07-25T15:10:13Z,18.813811169060585,27.640061074012696,33.6666666666667,8.82624990495211,4.369430646015896,galibier,-0.63827903449027
193,2019-07-25T14:41:28Z,2019-07-25T15:12:14Z,18.83,27.65247024271439,30.7666666666667,8.822470242714392,4.779236317830114,galibier,-0.228473362676052
195,2019-07-25T14:31:46Z,2019-07-25T15:00:11Z,18.865354768126462,27.661447341785017,28.4166666666667,8.796092573658555,5.158998576925839,galibier,0.1512888964196728
205,2019-07-25T14:36:33Z,2019-07-25T15:05:18Z,18.82206696417037,27.622173810418417,28.75,8.800106846248045,5.1015112152162585,galibier,0.09380153471009223
206,2019-07-25T14:26:54Z,2019-07-25T14:55:19Z,18.57460049979034,27.714034373777118,28.4166666666667,9.139433873986778,5.360371773599283,galibier,0.3526620930931168
208,2019-07-25T14:36:33Z,2019-07-25T15:05:45Z,18.83,27.62037721015672,29.2,8.790377210156723,5.017338590272102,galibier,0.009628909765935667
211,2019-07-25T14:26:07Z,2019-07-25T14:50:52Z,18.59423944267535,27.70008041493429,24.75,9.105840972258942,6.131879442598614,galibier,1.124169762092448
212,2019-07-25T14:36:33Z,2019-07-25T15:06:56Z,18.76635110462878,27.622995261174523,30.3833333333333,8.856644156545745,4.858279844512202,galibier,-0.1494298359939643
213,2019-07-25T14:26:42Z,2019-07-25T14:51:52Z,18.921891140875385,27.662646601384477,25.1666666666667,8.740755460509092,5.788579775171584,galibier,0.7808700946654179
214,2019-07-25T14:41:28Z,2019-07-25T15:12:14Z,18.84,27.632388045907238,30.7666666666667,8.792388045907238,4.762940436569467,galibier,-0.24476924393669908
216,2019-07-25T14:41:28Z,2019-07-25T15:12:14Z,18.85,27.630823301615486,30.7666666666667,8.780823301615484,4.756675678014889,galibier,-0.25103400249127716
217,2019-07-25T14:36:05Z,2019-07-25T15:10:31Z,18.58,27.740102017953706,34.4333333333333,9.160102017953708,4.4337376659988905,galibier,-0.5739720145072758
1,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.661435716709,88.56704535046279,40.2666666666667,13.905609633753798,5.755633126553724,izoard,0.6701675795123885
2,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.65230633723132,88.56353092500326,40.2666666666667,13.91122458777194,5.757957196925472,izoard,0.6724916498841358
3,2019-07-25T12:35:06Z,2019-07-25T13:16:24Z,74.71,88.56409070606077,41.3,13.854090706060774,5.590835636021296,izoard,0.5053700889799604
4,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.69,88.56105265188265,47.6166666666667,13.87105265188265,4.855111183718114,izoard,-0.23035436332322234
5,2019-07-25T12:35:06Z,2019-07-25T13:18:25Z,74.8056066658216,88.56050235342431,43.3166666666667,13.754895687602712,5.292380026011047,izoard,0.20691447896971127
6,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.67291397581886,88.57441144364472,40.2666666666667,13.901497467825862,5.753931071119976,izoard,0.6684655240786403
8,2019-07-25T12:27:31Z,2019-07-25T13:10:45Z,74.64600756406443,88.65274897999478,43.2333333333333,14.00674141593035,5.3996690115382995,izoard,0.31420346449696357
11,2019-07-25T12:35:06Z,2019-07-25T13:24:12Z,74.9530860117746,88.58180034851702,49.1,13.62871433674242,4.626175945941079,izoard,-0.45928960110025674
12,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.65456132279328,88.57250280147073,40.2666666666667,13.917941478677449,5.760737367002255,izoard,0.6752718199609191
13,2019-07-25T12:35:06Z,2019-07-25T13:25:03Z,74.5484095876461,88.61056663419131,49.95,14.06215704654521,4.692077759941678,izoard,-0.39338778709965805
14,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.79429389747969,88.58096677926467,44.8166666666667,13.78667288178498,5.12706317656563,izoard,0.041597629524294355
15,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.66800556717132,88.56613920755555,40.2666666666667,13.89813364038423,5.752538758437182,izoard,0.667073211395846
16,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.58046802714719,88.62361945678937,47.6166666666667,14.04315142964218,4.915348767813153,izoard,-0.17011677922818258
21,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.67370717906701,88.55031322671961,40.2666666666667,13.8766060476526,5.743628330982037,izoard,0.6581627839407007
22,2019-07-25T12:34:36Z,2019-07-25T13:22:14Z,74.79334300553029,88.74285543666538,47.6333333333333,13.94951243113509,4.880865091369871,izoard,-0.20460045567146512
23,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.54443096066694,88.55758852386431,47.6166666666667,14.013157563197367,4.904850389638561,izoard,-0.18061515740277478
24,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.56639802534676,88.61472117324307,49.7166666666667,14.048323147896312,4.709461330169733,izoard,-0.37600421687160335
25,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.67316280974535,88.55118201782606,40.2666666666667,13.878019208080715,5.74421324837778,izoard,0.658747701336444
26,2019-07-25T12:35:06Z,2019-07-25T13:28:12Z,74.7170300146302,88.68407909361824,53.1,13.96704907898804,4.383882322344018,izoard,-0.7015832246973179
27,2019-07-25T12:27:31Z,2019-07-25T13:13:57Z,74.62195096479086,88.65836982482925,46.4333333333333,14.036418860038395,5.038197724349747,izoard,-0.047267822691589245
28,2019-07-25T12:35:06Z,2019-07-25T13:24:12Z,74.95343042259739,88.5518326646075,49.1,13.59840224201011,4.615886708082183,izoard,-0.4695788389591531
31,2019-07-25T12:27:15Z,2019-07-25T13:09:56Z,74.80309729607711,88.72133674578248,42.6833333333333,13.918239449705368,5.4346893595101005,izoard,0.34922381246876455
32,2019-07-25T12:27:15Z,2019-07-25T13:10:45Z,74.75852190794818,88.7435637490154,43.5,13.985041841067215,5.358253578952956,izoard,0.27278803191162027
33,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.8013913551784,88.59691284618393,44.8166666666667,13.79552149100553,5.130353845669592,izoard,0.04488829862825572
34,2019-07-25T12:27:15Z,2019-07-25T13:11:59Z,74.68851077644214,88.7398742917091,44.7333333333333,14.051363515266956,5.235232308221668,izoard,0.14976676118033172
35,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.80270298880407,88.61344865052253,44.8166666666667,13.810745661718457,5.136015493387302,izoard,0.05054994634596621
36,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.58669208583412,88.67403008083828,49.7166666666667,14.087337995004162,4.722540393900155,izoard,-0.36292515314118123
37,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.7514653011934,88.61537729327773,44.8166666666667,13.863911992084326,5.155787278573569,izoard,0.07032173153223287
