label;new_label;riderId
Barcelo,ﾠFernando;Barcelo Fernando;1005011391
Bardet, Romain;Bardet Romain;1001242272
Barguil, Warren;Barguil Warren;1001610608
Baroncini, Filippo;Baroncini Filippo;1008084169
Barrè, Louis;Barre Louis;1028367979
Barrenetxea, Jon;Barrenetxea Jon;1008031428
Bárta, Jan;Barta Jan;1001251038
Barta, Tomas;Barta Tomas;1005819737
Barta, William;Barta Will;1004232963
Barthe, Cyril;Barthe Cyril;1005011396
Baska, Erik;Baska Erik;1002312082
Basso, Leonardo;Basso Leonardo;1002898551
Battaglin, Enrico;Battaglin Enrico;1001250967
Battistella, Samuele;Battistella Samuele;1005011454
Baudin, Alex;Baudin Alex;1028358721
Bauer, Jack;Bauer Jack;1001250994
Bauer, Jack;Bauer Jack;1004621156
Bauhaus, Phil;Bauhaus Phil;1003906331
Bax, Sjoerd;Bax Sjoerd;1005569893
Bax, Sjoerd;Bax Sjoerd;1005569940
Bayer, Tobias;Bayer Tobias;1005819760
Bekaert, Yentl;Bekaert Yentl;1006999257
Belmans, Lennert;Belmans Lennert;1028364906
Benedetti, Cesare;Benedetti Cesare;1001251037
Bennett, George;Bennett George;1001485289
Bennett, Sam;Bennett Sam;1001944983
Benoot, Tiesj;Benoot Tiesj;1002225564
Berckmoes, Jenno;Berckmoes Jenno;1008084150
Berhe, Welay Hagos;Berhe Welay Hagos;1028408309
Bernal, Egan;Bernal Egan;1003784775
Bernard, Julien;Bernard Julien;1000034441
Berrade, Urko;Berrade Urko;1007451748
Berthet, Clément;Berthet Clement;1008072769
Berwick, Sebastian;Berwick Sebastian;1007059274
Bettiol, Alberto;Bettiol Alberto;1002706867
Beullens, Cedric;Beullens Cedric;1005555790
Bevilacqua, Simone;Bevilacqua Simone;1004941429
Bevin, Patrick;Bevin Patrick;1003057612
Bevort, Carl-Frederik;Bevort Carl-Frederik;1028316544
Bewley, Sam;Bewley Sam;1001711321
Bidard, Francois;Bidard Francois;1003958582
Biermans, Jenthe;Biermans Jenthe;1003567793
Bigham, Daniel;Bigham Dan;1004600766
Bilbao, Pello;Bilbao Pello;1001242273
Bissegger, Stefan;Bissegger Stefan;1005807591
Bittner, Pavel;Bittner Pavel;1008096763
Bizkarra,ﾠMikel;Bizkarra Mikel;1004570746
Bjerg, Mikkel;Bjerg Mikkel;1004223468
Blackmore, Joseph;Blackmore Joseph;1028364904
Blouwe, Louis;Blouwe Louis;1028242226
Boaro, Manuele;Boaro Manuele;1001251041
Boasson Hagen, Edvald;Boasson Hagen Edvald;1000371598
Bodnar, Maciej;Bodnar Maciej;1000552255
Bohli, Tom;Bohli Tom;1002306835
Boivin, Guillaume;Boivin Guillaume;1001282090
Bol, Cees;Bol Cees;1003567798
Bol,ﾠJetse;Bol Jetse;1002066083
Bonifazio, Niccolo;Bonifazio Niccolo;1002229003
Bonnamour, Franck;Bonnamour Franck;1002898560
Bonneu, Kamiel;Bonneu Kamiel;1028242224
Boros, Michael;Boros Michael;1002347308
Bou,ﾠJoan;Bou Joan;1004941450
Bouchard, Geoffrey;Bouchard Geoffrey;1004898169
Boudat, Thomas;Boudat Thomas;1002312072
Bouet, Maxime;Bouet Maxime;1000530430
Bouglas, Georgios;Bouglas Georgios;1006160549
Bouhanni, Nacer;Bouhanni Nacer;1001276567
Bouts, Jordy;Bouts Jordy;1006673321
Bouwman,ﾠKoen;Bouwman Koen;1003918023
Braet, Vito;Braet Vito;1028250461
Brambilla, Gianluca;Brambilla Gianluca;1001250972
Brändle, Matthias;Brandle Matthias;1001251036
Brenner, Marco;Brenner Marco;1007059298
Brozyna, Piotr;Brozyna Piotr;1004223472
Brun, Nils;Brun Nils;1028260443
Brunel, Alexys;Brunel Alexys;1005003223
Brussenskiy, Gleb;Brussenskiy Gleb;1007503172
Brustenga, Marc;Brustenga Marc;1008096794
Buchmann, Emanuel;Buchmann Emanuel;1002312086
Budding, Martijn;Budding Martijn;1004573483
Budding, Martijn;Budding Martijn;1004257153
Buitrago,ﾠSantiago;Buitrago Santiago;1006073680
Buratti, Nicolo;Buratti Nicolo;1028319017
Burgaudeau, Mathieu;Burgaudeau Mathieu;1005470556
Busatto, Francesco;Busatto Francesco;1028319139
Bystrom, Sven Erik;Bystrom Sven Erik;1001634187
Cabedo,��scar;Cabedo Oscar;1004918386
