Race,Year,URL,race_name,Updated,n,race,type
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-01T20:00:49Z,420,race/benelux-tour/2021,4
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-09-01T09:00:47Z,348,race/benelux-tour/2021,3
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-31T23:59:45Z,348,race/benelux-tour/2021,3
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-31T20:00:42Z,348,race/benelux-tour/2021,3
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-31T09:00:46Z,312,race/benelux-tour/2021,2
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-30T23:59:40Z,312,race/benelux-tour/2021,2
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-30T20:00:49Z,312,race/benelux-tour/2021,2
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-30T09:00:48Z,392,race/benelux-tour/2021,1
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-29T23:59:47Z,392,race/benelux-tour/2021,1
Benelux Tour 2021,2021,https://www.nicerodds.co.uk/benelux-tour,Who wins Benelux Tour 2021?,2021-08-29T20:01:14Z,392,race/benelux-tour/2021,1
Brabantse Pijl 2020,2020,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2020?,2020-10-07T04:01:44Z,610,race/brabantse-pijl/2020,1
Brabantse Pijl 2020,2020,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2020?,2020-10-06T20:01:49Z,610,race/brabantse-pijl/2020,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-14T09:00:15Z,665,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-13T23:59:14Z,670,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-13T20:00:15Z,670,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-13T09:00:18Z,524,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-12T23:59:19Z,548,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-12T20:00:40Z,548,race/brabantse-pijl/2021,1
