stage,race,race_standard,year,class,time_trial,one_day_race,grand_tour,type,sof,tt,classics,n
1,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,-34.39966484,32.24764831,25.3094379,45.95816812,9
2,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,60.2418536,114.0166148,-21.65489441,-30.06266427,9
2,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,-118.1868907,6.697345166,22.46692578,-33.5241886,10
2,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,17.72970113,100.8997629,22.15685491,27.73516725,8
2,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,-223.8852709,43.67051044,10.68045294,-15.9313821,10
2,criterium du dauphine,Dauphine,2018,2.UWT,0,0,0,-27.21216374,4.836249111,16.59839847,19.74240261,10
2,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,61.24691524,129.3638701,4.942862275,-24.1816468,10
3,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,-50.62701359,-10.70835294,-7.791900125,-3.14293369,10
3,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,-140.1911503,76.18889708,11.04513063,9.552594006,10
3,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,-79.37018579,0.742073639,-3.466481423,-36.22727015,6
3,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,-90.11073191,-2.169559397,-14.01440316,-9.519210386,10
4,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,12.08350098,-2.678039108,-0.864099298,0.55717066,5
4,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,-89.3108492,38.41899431,28.18746564,-11.59675949,10
4,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,-151.496022,66.57737695,29.56910458,15.37527591,9
4,criterium du dauphine,Dauphine,2017,2.UWT,1,0,0,52.6929294,138.644301,-20.4425717,-15.76053251,7
4,criterium du dauphine,Dauphine,2018,2.UWT,0,0,0,47.56509713,121.9552172,11.0075111,0.309582305,10
4,criterium du dauphine,Dauphine,2019,2.UWT,1,0,0,44.41025797,100.6024138,-17.96628285,3.410325656,9
5,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,44.96238173,83.1009604,11.83366652,-11.51676235,10
5,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,57.42537903,88.61986373,-13.77071229,-26.57260267,10
5,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,72.83733907,183.253203,-1.784734129,-29.73816402,10
5,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,-209.3100628,34.24244462,-7.90807739,-19.98025785,10
5,criterium du dauphine,Dauphine,2018,2.UWT,0,0,0,52.76629758,106.4168321,-2.046075683,-17.26747556,9
5,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,-77.19316564,43.57584664,29.14596161,37.08920737,10
6,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,-0.453785398,-0.995590351,15.82161137,10.99087192,6
6,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,57.98195543,184.0396067,13.19540974,-12.83074573,9
6,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,78.20744004,195.3076344,-5.327037632,-38.4851744,10
6,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,78.4428174,231.2401588,3.017518731,-38.36882036,10
6,criterium du dauphine,Dauphine,2018,2.UWT,0,0,0,56.12212641,110.1921846,-7.242194155,-17.76418742,9
6,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,45.61915017,103.569866,4.452741577,-4.852107522,9
7,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,55.8994696,108.6351506,-12.22580002,-33.43820178,8
7,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,59.6386785,105.9555852,-4.08656719,-26.44150014,10
7,criterium du dauphine,Dauphine,2016,2.UWT,0,0,0,61.93163184,142.1265797,-4.147454953,-18.61820067,10
7,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,48.60055684,118.2783681,1.491991505,-24.99826665,9
7,criterium du dauphine,Dauphine,2018,2.UWT,0,0,0,53.96687656,99.31528232,0.77506502,-16.09272496,10
7,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,68.80344936,153.1736005,-0.3191427,-26.16365909,10
8,criterium du dauphine,Dauphine,2014,2.UWT,0,0,0,55.80776506,111.9340302,-11.39774977,-27.01394023,8
8,criterium du dauphine,Dauphine,2015,2.UWT,0,0,0,68.98967975,145.2931295,-9.662526681,-30.60742956,10
8,criterium du dauphine,Dauphine,2017,2.UWT,0,0,0,78.94201715,197.2960163,3.699274202,-37.95461573,10
8,criterium du dauphine,Dauphine,2019,2.UWT,0,0,0,21.98479713,26.92875639,6.872987147,8.705054068,8
1,cyclassics hamburg,Hamburg Cyclassics,2016,1.UWT,0,1,0,-251.0922675,47.7605674,-29.6835023,19.64724087,10
1,cyclassics hamburg,Hamburg Cyclassics,2017,1.UWT,0,1,0,-278.9146628,42.13591249,-18.5800643,-24.96334721,10
1,driedaagse brugge-de panne,Driedaagse Brugge De Panne,2019,1.UWT,0,1,0,-184.3002371,13.99840389,-11.59881015,-35.12238674,10
1,dwars door vlaanderen - a travers la flandre,Dwars Door Vlaanderen,2018,1.UWT,0,1,0,-68.50689126,47.75322253,7.911454483,89.83518366,10
1,dwars door vlaanderen - a travers la flandre,Dwars Door Vlaanderen,2019,1.UWT,0,1,0,-33.750469,6.130199039,-12.1576828,10.55137651,9
1,dwars door vlaanderen / a travers la flandre,Dwars Door Vlaanderen,2017,1.UWT,0,1,0,-47.75501645,19.59790397,1.281271153,33.56209253,9
1,e3 binckbank classic,Harelbeke Classic,2019,1.UWT,0,1,0,-38.34479689,39.95153512,14.75723272,69.00319778,8
1,e3 harelbeke,Harelbeke Classic,2014,1.UWT,0,1,0,-68.20371524,80.51807648,1.318300476,94.14041497,10
1,e3 harelbeke,Harelbeke Classic,2015,1.UWT,0,1,0,-87.66102953,39.42065726,-12.88168594,52.02256002,9
1,e3 harelbeke,Harelbeke Classic,2016,1.UWT,0,1,0,-77.04528947,56.65747745,-12.99528305,77.62466235,10
1,eneco tour,Binckbank Tour,2013,2.UWT,0,0,0,-123.1286125,-0.125873014,-17.92101434,-11.08753033,10
1,eneco tour,Binckbank Tour,2014,2.UWT,0,0,0,-66.96805115,20.71523127,-22.08701882,3.885358882,9
1,eneco tour,Binckbank Tour,2015,2.UWT,0,0,0,-201.0090478,19.04210398,-25.87610991,-25.07547909,10
1,eneco tour,Binckbank Tour,2016,2.UWT,0,0,0,-306.189246,70.17540416,-25.50816101,3.356872109,10
2,eneco tour,Binckbank Tour,2013,2.UWT,0,0,0,-61.65539331,4.315947876,-0.234310103,12.20057415,9
2,eneco tour,Binckbank Tour,2014,2.UWT,0,0,0,-19.40330685,20.14811536,-2.773235886,7.705436653,7
2,eneco tour,Binckbank Tour,2015,2.UWT,0,0,0,-159.3130756,11.18461075,-23.439604,-25.17319184,9
2,eneco tour,Binckbank Tour,2016,2.UWT,1,0,0,-38.99213187,65.3714276,-47.06577167,48.29238628,9
3,eneco tour,Binckbank Tour,2013,2.UWT,0,0,0,-103.4379165,3.651192539,3.935122336,-3.764328927,10
3,eneco tour,Binckbank Tour,2014,2.UWT,1,0,0,19.33084769,37.81053543,-48.26669911,26.27975733,6
3,eneco tour,Binckbank Tour,2015,2.UWT,0,0,0,-234.40091,19.84126904,-29.56988764,-45.23843051,10
3,eneco tour,Binckbank Tour,2016,2.UWT,0,0,0,-282.8568975,68.76926317,-30.99652363,19.83562718,9
4,eneco tour,Binckbank Tour,2013,2.UWT,0,0,0,-122.0305233,5.877841384,-17.51307957,-6.710609248,9
4,eneco tour,Binckbank Tour,2014,2.UWT,0,0,0,-138.7968666,1.074765167,-8.417042432,-51.74191473,9
4,eneco tour,Binckbank Tour,2015,2.UWT,1,0,0,-8.06220797,49.05831408,-0.641951436,56.62286801,7
4,eneco tour,Binckbank Tour,2016,2.UWT,0,0,0,-289.1980964,70.12670561,-34.29775905,30.70307875,10
5,eneco tour,Binckbank Tour,2013,2.UWT,1,0,0,10.92581409,13.63294514,-22.03926381,14.22512345,5
5,eneco tour,Binckbank Tour,2014,2.UWT,0,0,0,-11.18749366,74.91853832,-0.163974503,72.65476686,8
5,eneco tour,Binckbank Tour,2015,2.UWT,0,0,0,-39.9543645,45.9160303,-0.665685958,33.56808185,9
6,eneco tour,Binckbank Tour,2013,2.UWT,0,0,0,4.735593481,21.2157314,-7.611798693,20.50020457,5
6,eneco tour,Binckbank Tour,2014,2.UWT,0,0,0,-9.950644061,74.14853662,-0.351332008,74.69792241,9
6,eneco tour,Binckbank Tour,2015,2.UWT,0,0,0,-7.654387298,70.21785094,31.95729273,67.39783018,9
6,eneco tour,Binckbank Tour,2016,2.UWT,0,0,0,-131.7981657,18.29925819,-6.838167393,-21.96995549,6
7,eneco tour,Binckbank Tour,2013,2.UWT,0,0,0,13.99610943,35.77942344,-18.80547712,20.42570893,7
7,eneco tour,Binckbank Tour,2014,2.UWT,0,0,0,-21.69811426,7.136863384,-1.061138294,19.01312032,4
7,eneco tour,Binckbank Tour,2015,2.UWT,0,0,0,-32.66980012,61.75652449,28.22055052,69.79676245,8
7,eneco tour,Binckbank Tour,2016,2.UWT,0,0,0,-66.84936051,122.5179753,-19.11744935,94.55657932,9
1,eschborn-frankfurt,Eschborn Frankfurt,2018,1.UWT,0,1,0,-130.4554326,34.33637699,7.025021505,46.45801952,10
1,eschborn-frankfurt,Eschborn Frankfurt,2019,1.UWT,0,1,0,-116.3313998,15.16182722,-4.965589429,0.757178026,7
1,eschborn-frankfurt 'rund um den finanzplatz',Eschborn Frankfurt,2017,1.UWT,0,1,0,-135.9171485,19.73228892,-3.996448084,31.84298051,10
1,euroeyes cyclassics hamburg,Hamburg Cyclassics,2018,1.UWT,0,1,0,-298.8326799,80.22289226,-9.279427669,53.67598079,10
1,euroeyes cyclassics hamburg,Hamburg Cyclassics,2019,1.UWT,0,1,0,-282.0658117,88.4401568,2.338996186,75.10683478,10
1,gent - wevelgem,Gent Wevelgem,2015,1.UWT,0,1,0,-128.6928208,59.87100585,-28.27045589,66.73213802,9
1,gent - wevelgem in flanders fields,Gent Wevelgem,2016,1.UWT,0,1,0,-117.1356529,56.37037939,-4.967525639,75.75722434,10
1,gent-wevelgem in flanders fields,Gent Wevelgem,2014,1.UWT,0,1,0,-155.7218005,39.44116617,-17.92288765,31.03025628,10
1,gent-wevelgem in flanders fields,Gent Wevelgem,2017,1.UWT,0,1,0,-171.2706689,79.01001512,14.11182024,84.59561333,10
1,gent-wevelgem in flanders fields,Gent Wevelgem,2018,1.UWT,0,1,0,-190.4643602,62.98440284,-11.65427009,63.27520506,10
1,gent-wevelgem in flanders fields,Gent Wevelgem,2019,1.UWT,0,1,0,-158.2840838,31.83460791,-16.42301288,33.9397182,10
1,giro d'italia,Giro d'Italia,2016,2.UWT,1,0,1,6.179748813,34.25860684,-38.47972085,14.24216641,7
1,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,-165.9639923,16.55922614,-4.229388154,-2.399913002,9
1,giro d'italia,Giro d'Italia,2018,2.UWT,1,0,1,47.93696308,76.76806646,-63.17341636,17.74069438,10
1,giro d'italia,Giro d'Italia,2019,2.UWT,1,0,1,59.26351564,125.702965,-28.91837673,-14.49382427,9
2,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,-161.5699266,24.24713022,15.84171843,-7.637516897,10
2,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,-137.2247272,21.11293783,-6.69417182,7.354106149,9
2,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,-153.5120917,10.25338138,-5.499481458,-15.03894908,9
2,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,-89.01231644,43.89291259,-7.863206843,13.17223786,10
2,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,-156.5479133,0.423923808,18.62768398,-37.97185917,10
2,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,-134.4837218,7.751672017,-15.53374176,-3.697083242,10
3,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,-155.9218849,15.25573234,-1.708734755,-6.560170268,10
