name,url,pcs_name,pcs_url
Romain Bardet,https://www.strava.com/pros/1630132,Bardet Romain,rider/romain-bardet
Ryan Gibbons,https://www.strava.com/athletes/12772912,Gibbons Ryan,rider/ryan-gibbons
Sacha Modolo,https://www.strava.com/pros/27129740,Modolo Sacha,rider/sacha-modolo
Sepp Kuss,https://www.strava.com/athletes/254096,Kuss Sepp,rider/sepp-kuss
Silvan Dillier,https://www.strava.com/pros/12427912,Dillier Silvan,rider/silvan-dillier
Simon Geschke,https://www.strava.com/athletes/13872795,Geschke Simon,rider/simon-geschke
Sonny Colbrelli,https://www.strava.com/athletes/2655853,Colbrelli Sonny,rider/sonny-colbrelli
Stefun Kung,https://www.strava.com/pros/133606,Küng Stefan,rider/stefan-kung
Steven Kruijswijk,https://www.strava.com/pros/3056059,Kruijswijk Steven,rider/steven-kruijswijk
Tejay van Garderen,https://www.strava.com/pros/3391355,van Garderen Tejay,rider/tejay-van-garderen
Thibaut Pinot,https://www.strava.com/athletes/1603067,Pinot Thibaut,rider/thibaut-pinot
Tiesj Benoot,https://www.strava.com/pros/1128302,Benoot Tiesj,rider/tiesj-benoot
Warren Barguil,https://www.strava.com/pros/722861,Barguil Warren,rider/warren-barguil
Wilco Kelderman,https://www.strava.com/athletes/479385,Kelderman Wilco,rider/wilco-kelderman
Winner Anacona,https://www.strava.com/athletes/12542977,Anacona Winner,rider/winner-anacona
Wout van Aert,https://www.strava.com/athletes/189040,van Aert Wout,rider/wout-van-aert
Xandro Meurisse,https://www.strava.com/pros/10545603,Meurisse Xandro,rider/xandro-meurisse
Yves Lampaert,https://www.strava.com/pros/2916067,Lampaert Yves,rider/yves-lampaert
Alessandro De Marchi,https://www.strava.com/athletes/9545283,De Marchi Alessandro,rider/alessandro-de-marchi
Ben King,https://www.strava.com/athletes/50757,King Ben,rider/ben-king
Daniel Oss,https://www.strava.com/athletes/690926,Oss Daniel,rider/daniel-oss
Ian Boswell,https://www.strava.com/athletes/262535,Boswell Ian,rider/ian-boswell
Jetse Bol,https://www.strava.com/athletes/588876,Bol Jetse,rider/jetse-bol
Luke Durbridge,https://www.strava.com/athletes/1698342,Durbridge Luke,rider/luke-durbridge
Robert Gesink,https://www.strava.com/pros/1216273,Gesink Robert,rider/robert-gesink
Tim Declercq,https://www.strava.com/pros/1154552,Declercq Tim,rider/tim-declercq
