no_Rider,rider,n,
Rudy Barbier,Barbier Rudy,2835,1354
Romain Bardet,Bardet Romain,18716,1373
Warren Barguil,Barguil Warren,11352,1384
Filippo Baroncini,Baroncini Filippo,2519,1413
Jon Barrenetxea,Barrenetxea Jon,74,1428
Jon-Barrenetxea,Barrenetxea Jon,4,1428
Will Barta,Barta Will,14,1454
Cyril Barthe,Barthe Cyril,1051,1462
Andrea-Bartolozzi,Bartolozzi Andrea,11,1475
Erik Baska,Baska Erik,519,1495
Erik-Baska,Baska Erik,40,1495
Erik BaSka,BaSka Erik,6,1495
Stephen Bassett,Bassett Stephen,53,1501
Stephen-Bassett,Bassett Stephen,46,1501
Leonardo Basso,Basso Leonardo,289,1511
Enrico Battaglin,Battaglin Enrico,3895,1541
Samuele Battistella,Battistella Samuele,4586,1544
Jack Bauer,Bauer Jack,6945,1570
Phil Bauhaus,Bauhaus Phil,2730,1574
Tobias Bayer,Bayer Tobias,1154,1598
Stanislau-Bazhkou,Bazhkou Stanislau,33,1613
Oliver Behringer,Behringer Oliver,63,1701
Manuel Belletti,Belletti Manuel,666,1750
Louis Bendixen,Bendixen Louis,54,1799
Cesare Benedetti,Benedetti Cesare,1291,1803
Gabriele Benedetti,Benedetti Gabriele,10,1806
George Bennett,Bennett George,11487,1843
Sam Bennett,Bennett Sam,6698,1845
Sean Bennett,Bennett Sean,583,1846
Tiesj Benoot,Benoot Tiesj,18433,1855
Joao-Benta,Benta Joao,9,1861
Natnael Berhane,Berhane Natnael,1102,1927
Egan Bernal,Bernal Egan,13172,1946
Pawel Bernas,Bernas Pawel,121,1968
Urko Berrade,Berrade Urko,236,1983
Clement-Berthet,Berthet Clement,9,2001
Sebastian Berwick,Berwick Sebastian,335,2030
Carlos Betancur,Betancur Carlos,5876,2044
Alberto Bettiol,Bettiol Alberto,12880,2059
Simone Bevilacqua,Bevilacqua Simone,319,2078
Patrick Bevin,Bevin Patrick,6796,2079
Sam Bewley,Bewley Sam,234,2082
Jenthe Biermans,Biermans Jenthe,6445,2151
Daniel Bigham,Bigham Daniel,78,2158
Pello Bilbao,Bilbao Pello,13814,2171
Alessandro Bisolti,Bisolti Alessandro,390,2225
Stefan Bissegger,Bissegger Stefan,7965,2228
Pavel Bittner,Bittner Pavel,9,2235
Mikel Bizkarra,Bizkarra Mikel,1652,2238
Mikkel Bjerg,Bjerg Mikkel,3158,2240
Christopher Blevins,Blevins Christopher,59,2289
Erlend Blikra,Blikra Erlend,13,2296
Louis-Blouwe,Blouwe Louis,12,2314
Manuele Boaro,Boaro Manuele,905,2325
Maciej Bodnar,Bodnar Maciej,981,2361
Kris Boeckmans,Boeckmans Kris,31,2363
Igor-Boev,Boev Igor,18,2378
Marceli Boguslawski,Boguslawski Marceli,16,2398
Tom Bohli,Bohli Tom,407,2400
Alan Boileau,Boileau Alan,49,2405
Alan-Boileau,Boileau Alan,26,2405
Guillaume Boivin,Boivin Guillaume,2592,2415
Cees Bol,Bol Cees,10083,2427
Jetse Bol,Bol Jetse,1314,2428
Grega Bole,Bole Grega,95,2432
Leonardo Bonifazio,Bonifazio Leonardo,167,2500
Leonardo-Bonifazio,Bonifazio Leonardo,9,2500
Franck Bonnamour,Bonnamour Franck,2031,2510
William Bonnet,Bonnet William,264,2523
Brent Bookwalter,Bookwalter Brent,797,2540
Lars Boom,Boom Lars,40,2541
Matthew Bostock,Bostock Matthew,61,2666
Geoffrey Bouchard,Bouchard Geoffrey,3241,2694
Thomas Boudat,Boudat Thomas,419,2707
Maxime Bouet,Bouet Maxime,350,2715
Georgios Bouglas,Bouglas Georgios,66,2718
Nacer Bouhanni,Bouhanni Nacer,3197,2720
Koen Bouwman,Bouwman Koen,2713,2772
Dylan Bouwmans,Bouwmans Dylan,9,2774
Gianluca Brambilla,Brambilla Gianluca,10421,2844
Giorgio-Brambilla,Brambilla Giorgio,30,2845
Sam Brand,Brand Sam,24,2857
Joni-Brandao,Brandao Joni,9,2858
Garikoitz Bravo,Bravo Garikoitz,18,2897
Marco Brenner,Brenner Marco,5092,2940
Marco-Brenner,Brenner Marco,234,2940
Michael Bresciani,Bresciani Michael,16,2953
Rhys Britton,Britton Rhys,70,3022
Rob Britton,Britton Rob,250,3023
Connor Brown,Brown Connor,224,3081
Connor-Brown,Brown Connor,9,3081
Jonny Brown,Brown Jonny,9,3085
Nathan Brown,Brown Nathan,238,3088
Piotr Brozyna,Brozyna Piotr,108,3095
Piotr-Brozyna,Brozyna Piotr,3,3095
Alexys Brunel,Brunel Alexys,613,3120
Gleb Brussenskiy,Brussenskiy Gleb,265,3140
Emanuel Buchmann,Buchmann Emanuel,11624,3174
Martijn Budding,Budding Martijn,37,3185
Anatoliy Budyak,Budyak Anatoliy,85,3191
Luuc Bugter,Bugter Luuc,9,3205
Santiago Buitrago,Buitrago Santiago,1122,3221
Federico Burchio,Burchio Federico,16,3262
Mathieu Burgaudeau,Burgaudeau Mathieu,140,3267
Marcus Burghardt,Burghardt Marcus,4276,3274
Matteo Busato,Busato Matteo,62,3313
Vitaliy Buts,Buts Vitaliy,69,3340
Oscar Cabedo,Cabedo Oscar,9,3380
Jeremy Cabot,Cabot Jeremy,422,3383
Lilian Calmejane,Calmejane Lilian,10635,3462
Maxime-Cam,Cam Maxime,58,3480
Victor Campenaerts,Campenaerts Victor,6237,3522
Carlos Canal,Canal Carlos,603,3540
Carlos-Canal,Canal Carlos,9,3540
Marco Canola,Canola Marco,2522,3580
Eros Capecchi,Capecchi Eros,1581,3609
Amaury Capiot,Capiot Amaury,7071,3615
Richard Carapaz,Carapaz Richard,12220,3638
Michael Carbel,Carbel Michael,2850,3640
Giovanni Carboni,Carboni Giovanni,3459,3644
Romain Cardis,Cardis Romain,287,3654
Clement Carisey,Carisey Clement,13,3680
Clement-Carisey,Carisey Clement,9,3680
Robin Carpenter,Carpenter Robin,230,3717
Simon Carr,Carr Simon,4013,3727
Simon-Carr,Carr Simon,9,3727
Lucas Carstensen,Carstensen Lucas,16,3757
Lucas-Carstensen,Carstensen Lucas,3,3757
Hugh John Carthy,Carthy Hugh,12707,3772
Damiano Caruso,Caruso Damiano,15155,3779
Henrique Casimiro,Casimiro Henrique,3,3822
Jaime Castrillo,Castrillo Jaime,229,3873
Jonas Castrique,Castrique Jonas,21,3876
Jonathan Castroviejo,Castroviejo Jonathan,5111,3881
Alexander Cataford,Cataford Alexander,68,3884
Dario Cataldo,Cataldo Dario,7163,3886
Mattia Cattaneo,Cattaneo Mattia,8276,3899
Mark Cavendish,Cavendish Mark,15076,3919
Danilo-Celano,Celano Danilo,18,3963
Thomas Champion,Champion Thomas,277,4073
Clement Champoussin,Champoussin Clement,115,4075
Clement--Champoussin,Champoussin Clement,10,4075
Clement-Champoussin,Champoussin Clement,10,4075
Anthon Charmig,Charmig Anthon,123,4116
Anthon-Charmig,Charmig Anthon,18,4116
Esteban Chaves,Chaves Esteban,10994,4157
Nikolay Cherkasov,Cherkasov Nikolay,1829,4189
Maxime Chevalier,Chevalier Maxime,264,4205
Luca Chirico,Chirico Luca,457,4243
Ryan Christensen,Christensen Ryan,59,4305
Mark Christian,Christian Mark,1336,4310
Giulio Ciccone,Ciccone Giulio,15007,4359
Pawel Cieslik,Cieslik Pawel,14,4364
Damiano Cima,Cima Damiano,46,4369
Imerio Cima,Cima Imerio,69,4370
Davide Cimolai,Cimolai Davide,6661,4371
Dimitri Claeys,Claeys Dimitri,6757,4415
Jonathan Clarke,Clarke Jonathan,63,4443
Simon Clarke,Clarke Simon,7110,4448
Damien Clayton,Clayton Damien,9,4471
Nicolas Cleppe,Cleppe Nicolas,31,4492
Sonny Colbrelli,Colbrelli Sonny,11382,4564
Kevin Colleoni,Colleoni Kevin,409,4588
Alex Colman,Colman Alex,42,4607
Luca Colnaghi,Colnaghi Luca,308,4610
Raul Colombo,Colombo Raul,11,4619
Romain Combaud,Combaud Romain,209,4634
Filippo Conca,Conca Filippo,545,4652
Nicola Conci,Conci Nicola,1037,4654
Simone Consonni,Consonni Simone,5733,4669
Valerio Conti,Conti Valerio,4220,4683
Rodrigo Contreras,Contreras Rodrigo,565,4688
Bryan Coquard,Coquard Bryan,7350,4730
Magnus Cort,Cort Magnus,5008,4804
Rui Costa,Costa Rui,6913,4834
Alessandro Covi,Covi Alessandro,4089,4897
Alessandro-Covi,Covi Alessandro,4,4897
Luca Covili,Covili Luca,137,4898
Lawson Craddock,Craddock Lawson,4782,4917
Steff Cras,Cras Steff,4430,4927
