eventid;race;marketid;title;pcs_url
10954470;Volta a la Comunitat Valenciana 2023 Stage 3 Winner;286426164;Stage winner;race/vuelta-a-la-comunidad-valenciana/2023
10954467;Volta a la Comunitat Valenciana 2023 Stage 4 Winner;286426162;Stage winner;race/vuelta-a-la-comunidad-valenciana/2023
10954471;Volta a la Comunitat Valenciana 2023 Stage 5 Winner;286426163;Stage winner;race/vuelta-a-la-comunidad-valenciana/2023
9107558;Volta ao Algarve 2022 Stage 1 Winner;231044053;Stage winner;race/volta-ao-algarve/2022
9107557;Volta ao Algarve 2022 Stage 2 Winner;231044057;Stage winner;race/volta-ao-algarve/2022
9107559;Volta ao Algarve 2022 Stage 3 Winner;231044054;Stage winner;race/volta-ao-algarve/2022
9107556;Volta ao Algarve 2022 Stage 4 Winner;231044056;Stage winner;race/volta-ao-algarve/2022
9107560;Volta ao Algarve 2022 Stage 5 Winner;231044055;Stage winner;race/volta-ao-algarve/2022
11030487;Volta ao Algarve 2023 Outright Winner;288739309;Outright Winner;race/volta-ao-algarve/2023
11030473;Volta ao Algarve 2023 Stage 1 Winner;288738453;Stage winner;race/volta-ao-algarve/2023
11030472;Volta ao Algarve 2023 Stage 2 Winner;288738454;Stage winner;race/volta-ao-algarve/2023
11030474;Volta ao Algarve 2023 Stage 3 Winner;288738455;Stage winner;race/volta-ao-algarve/2023
11030471;Volta ao Algarve 2023 Stage 4 Winner;288738456;Stage winner;race/volta-ao-algarve/2023
11030475;Volta ao Algarve 2023 Stage 5 Winner;288738457;Stage winner;race/volta-ao-algarve/2023
9114182;Vuela a Andalucia 2022 Stage 2 Winner;231304127;Stage winner;race/ruta-del-sol/2022
9119433;Vuela a Andalucia 2022 Stage 3 Winner;231468614;Stage winner;race/ruta-del-sol/2022
9124732;Vuela a Andalucia 2022 Stage 4 Winner;231631586;Stage winner;race/ruta-del-sol/2022
9124736;Vuela a Andalucia 2022 Stage 5 Winner;231631946;Stage winner;race/ruta-del-sol/2022
9103462;Vuelta a Andalucia 2022 Outright Winner;230972127;Outright Winner;race/ruta-del-sol/2022
9103447;Vuelta a Andalucia 2022 Stage 1 Winner;230970655;Stage winner;race/ruta-del-sol/2022
11026406;Vuelta a Andalucia 2023 Outright Winner;288664270;Outright Winner;race/ruta-del-sol/2023
11026413;Vuelta a Andalucia 2023 Stage 1 Winner;288664611;Stage winner;race/ruta-del-sol/2023
11026412;Vuelta a Andalucia 2023 Stage 2 Winner;288664612;Stage winner;race/ruta-del-sol/2023
11026414;Vuelta a Andalucia 2023 Stage 3 Winner;288664614;Stage winner;race/ruta-del-sol/2023
11026411;Vuelta a Andalucia 2023 Stage 4 Winner;288664613;Stage winner;race/ruta-del-sol/2023
11026415;Vuelta a Andalucia 2023 Stage 5 Winner;288664615;Stage winner;race/ruta-del-sol/2023
9028310;Vuelta a La Comunitat Valenciana 2022 Outright Winner;228603128;Outright Winner;race/vuelta-a-la-comunidad-valenciana/2022
9022714;Vuelta a La Comunitat Valenciana 2022 Stage 3 Winner;228375733;Stage winner;race/vuelta-a-la-comunidad-valenciana/2022
9022711;Vuelta a La Comunitat Valenciana 2022 Stage 4 Winner;228375734;Stage winner;race/vuelta-a-la-comunidad-valenciana/2022
9022715;Vuelta a La Comunitat Valenciana 2022 Stage 5 Winner;228375735;Stage winner;race/vuelta-a-la-comunidad-valenciana/2022
10998313;Vuelta a Murcia 2023 Winner;287764716;Outright Winner;race/vuelta-ciclista-a-la-region-de-murcia/2023
10895414;Vuelta a San Juan 2023 Outright Winner;284759731;Outright Winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894612;Vuelta a San Juan 2023 Stage 1 Winner;284717250;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894611;Vuelta a San Juan 2023 Stage 2 Winner;284717251;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894613;Vuelta a San Juan 2023 Stage 3 Winner;284717252;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894610;Vuelta a San Juan 2023 Stage 4 Winner;284717253;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894609;Vuelta a San Juan 2023 Stage 5 Winner;284717255;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894614;Vuelta a San Juan 2023 Stage 6 Winner;284717254;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10894615;Vuelta a San Juan 2023 Stage 7 Winner;284717256;Stage winner;race/vuelta-ciclista-a-la-provincia-de-san-juan/2023
10998263;Women UAE Tour 2023 Stage 1 Winner;287757156;Stage winner;race/uae-tour-women/2023
10998264;Women UAE Tour 2023 Stage 2 Winner;287757157;Stage winner;race/uae-tour-women/2023
10998262;Women UAE Tour 2023 Stage 3 Winner;287757158;Stage winner;race/uae-tour-women/2023
10998265;Women UAE Tour 2023 Stage 4 Winner;287757159;Stage winner;race/uae-tour-women/2023
11520103;Giro d'Italia 2023 Stage 9 H2H;304702418;A Leknessund v D Caruso;race/giro-d-italia/2023
11520103;Giro d'Italia 2023 Stage 9 H2H;304702346;G Thomas v J Almeida;race/giro-d-italia/2023
11520103;Giro d'Italia 2023 Stage 9 H2H;304702354;J Vine v L Kamna;race/giro-d-italia/2023
11531032;4 Jours de Dunkerque 2023 Outright Winner;305057954;Outright Winner;race/4-jours-de-dunkerque/2023
11287229;Amstel Gold Race 2023 Winner;296975434;Outright Winner;race/amstel-gold-race/2023
11580723;Boucles de la Mayenne 2023 Winner;306534044;Outright Winner;race/boucles-de-la-mayenne/2023
11287246;Brabantse Pijl 2023 Winner;296977641;Outright Winner;race/brabantse-pijl/2023
11541774;Circuit de Wallonie 2023 Winner;305345683;Outright Winner;race/circuit-de-wallonie/2023
11448321;Eschborn-Frankfurt 2023 Winner;302418071;Outright Winner;race/eschborn-frankurt/2023
11454240;Giro d'Italia 2023 King of The Mountains;302652340;Outright Winner;race/giro-d-italia/2023
11454227;Giro d'Italia 2023 Points Classification;302651959;Outright Winner;race/giro-d-italia/2023
10819479;Giro d'Italia 2023 Winner;282367718;Outright Winner;race/giro-d-italia/2023
11337412;Giro di Sciilia - Outright Winner;298712385;Outright Winner;race/giro-di-sicilia/2023
