race;stage;rider;
;;Denz Nico;
;;Boaro Manuele;
;;Vincent Leo;
;;Potter Michael;
;4;De Gendt Thomas;
;;Pernsteiner Hermann;
;;Sutterlin Jasha;
;;Cosnefroy Benoit;
;;Scotson Miles;
;;White Nick;
;5;Toovey Ayden;
;;Lea Jason;
;;Chevrier Clement;
;6;De Gendt Thomas;
;;Dowsett Alex;
;;White Nick;
;;Postlberger Lukas;
;;Bagdonas Gediminas;
;;Sutterlin Jasha;
;;Van Poppel Danny;
vuelta-a-andalucia-ruta-ciclista-del-sol-2019;1;Van Staeyen Michael;race/ruta-del-sol/2019
;;Cuadros Alvaro;
;;Ermenault Corentin;
;;Pessot Alessandro;
;;Samitier Sergio;
;;Bol Jetse;
;;Cuadrado Unai;
;2;Van Melsen Kevin;
;;Viel Mattia;
;;Kuilkovskiy Alexander;
;;Orsini Umberto;
;;Zhyhunov Dimitry;
;;Lopez-Cozar Juan Antonio;
;4;Chaves Esteban;
;;Garcia Cortina Ivan;
;;Canola Marco;
;;Barbero Carlos;
;;Cherkasov Nikolai;
;;Tonelli Alessandro;
;;Van Poppel Danny;
;;Cubero Jorge;
;;Barthe Cyril;
;;Samitier Sergio;
;;Juaristi Txomin;
;5;Verona Carlos;
;;Yates Simon;
;;Bole Grega;
;;Martin Guillaume;
;;Van Der Lijke Nick;
;;Bou Joan;
;;Masnada Fausto;
;;Montaguti Matteo;
;;Rota Lorenzo;
giro-ditalia-2019;2;Ciccone Giulio;race/giro-d-italia/2019
;;Frapporti Marco;
;;Bidard Francois;
;;Bennett Sean;
;;Owsian Lukasz;
;;Maestri Mirco;
;;Cima Damiano;
;;Clarke Will;
;3;Hatsuyama Sho;
;4;Cima Damiano;
;;Frapporti Marco;
;;Maestri Mirco;
;5;Ciccone Giulio;
;;Vervaeke Louis;
;;Orsini Umberto;
;;Florez Miguel;
;;Santaromita Ivan;
;;Barbin Enrico;
;6;Rojas Jose Joaquin;
;;Amador Andrey;
;;Peters Nans;
;;Serry Pieter;
;;Plaza Ruben;
;;Bagioli Nicola;
;;Conti Valerio;
;;Masnada Fausto;
;;Carboni Giovanni;
;;Madouas Valentin;
;;Oomen Sam;
;;Antunes Amaro;
;7;Formolo Davide;
;;Bilbao Pello;
;;Rojas Jose Joaquin;
;;Mccarthy Jay;
;;Cattaneo Mattia;
;;Pedrero Antonio;
;;Zeits Andrey;
;;Gallopin Tony;
;;Hamilton Lucas;
;;De Gendt Thomas;
;;Plaza Ruben;
;;Henao Sebastian;
;8;Frapporti Marco;
;;Cima Damiano;
;10;Covili Luca;
;;Hatsuyama Sho;
;11;Maestri Mirco;
;;Cima Damiano;
;;Frapporti Marco;
;12;Polanc Jan;
;;Benedetti Cesare;
;;Bennett Sean;
;;Haller Marco;
;;De Gendt Thomas;
;;Bakelants Jan;
;;Gasparotto Enrico;
;;Caruso Damiano;
;;Sutterlin Jasha;
;;Boaro Manuele;
;;Cataldo Dario;
;;Dunbar Eddie;
;;Brambilla Gianluca;
;;Capecchi Eros;
;;Gavazzi Francesco;
;;Knees Christian;
;;Ludvigsson Tobias;
;;Kluge Roger;
;;Cerny Josef;
;;Wyss Danilo;
;;Biermans Jenthe;
;;Senni Manuel;
;;Montaguti Matteo;
;;Covili Luca;
;;Dunne Conor;
;13;Mollema Bauke;
;;Amador Andrey;
;;Zakarin Ilnur;
;;Formolo Davide;
;;Carretero Hector;
;;Gallopin Tony;
;;Cattaneo Mattia;
;;Masnada Fausto;
;;Cataldo Dario;
;;Zeits Andrey;
;;Nibali Antonio;
;;Pozzovivo Domenico;
;;De La Parte Victor;
;;Neilands Krists;
;;Dombrowski Joe;
;;Plaza Ruben;
;;Nieve Mikel;
;;Dunbar Eddie;
;;Geoghegan Hart Tao;
;;Tolhoek Antwan;
;;Brambilla Gianluca;
;;Ciccone Giulio;
;;Conci Nicola;
;;Rojas Jose Joaquin;
;;De Gendt Thomas;
;;Vuillermoz Alexis;
;;Juul-Jensen Christopher;
;;Izagirre Ion;
;14;Cattaneo Mattia;
;;Masnada Fausto;
;;Juul-Jensen Christopher;
;;Ciccone Giulio;
;;Sosa Ivan Ramiro;
;;Carthy Hugh;
;;Hamilton Lucas;
;;Dupont Herbert;
;;Gallopin Tony;
;;Caruso Damiano;
;;Izagirre Ion;
;15;Cataldo Dario;
;;Cattaneo Mattia;
;16;Hirt Jan;
;;Bilbao Pello;
;;Villella Davide;
;;Caruso Damiano;
;;Nibali Antonio;
;;Nieve Mikel;
;;Juul-Jensen Christopher;
;;Masnada Fausto;
;;Cattaneo Mattia;
;;Ventoso Francisco Jose;
;;Owsian Lukasz;
;;Dombrowski Joe;
;;Brown Nathan;
;;Bidard Francois;
;;Amador Andrey;
;;Bouwman Koen;
;;Ciccone Giulio;
;;Hindley Jai;
;;Ulissi Diego;
;;Schwarzmann Michael;
;;Honore Mikkel Frolich;
;17;Peters Nans;
;;Vendrame Andrea;
;;Masnada Fausto;
;;Antunes Amaro;
;;De La Parte Victor;
;;Kangert Tanel;
;;Neilands Krists;
;;De Gendt Thomas;
;;Chaves Esteban;
;;Conci Nicola;
;;Bouwman Koen;
