race;stage;rider;
;;Bernard Julien;
;;De La Cruz David;
;;Janssens Jimmy;
;;Perez Anthony;
;;Tusveld Martijn;
;;Felline Fabio;
;;Houle Hugo;
;;Izagirre Gorka;
;;Pacher Quentin;
;;Peters Nans;
tour-de-l-ain-2021;1;Tarlton Alexander;race/tour-de-l-ain/2021
;;Etxeberria Jose;
;;Duchesne Antoine;
;2;Antomarchi Julien;
;;Riccitello Matthew;
;;Moniquet Sylvain;
;;Vergaerde Otto;
;;Kowalski Dylan;
;;Schonberger Sebastian;
;;Pacher Quentin;
;;Castellarnau Florent;
;3;Peters Nans;
;;Lafay Victor;
;;Guernalec Thibault;
;;Boileau Alan;
;;Strakhov Dmitry;
;;Guglielmi Simon;
;;Urbano Carmelo;
adriatica-ionica-race-2021;1;Rastelli Luca;race/adriatica-ionica-race/2021
;;Donega Matteo;
;;Cattelan Davide;
;;Sevilla Diego Pablo;
;2;Zandri Francesco;
;;Tosin Ricardo;
;;Bais Mattia;
;;Verza Riccardo;
;;Rastelli Luca;
etoile-de-besseges-tour-du-gard-2022;1;De Vylder Lindsay;race/etoile-de-besseges/2022
;2;Denis Thomas;
;;Reynders Jens;
;;Gougeard Alexis;
;;Marquez Marti;
;3;Sheffield Magnus;
;;Zoccarato Samuele;
;;Armirail Bruno;
;;Houle Hugo;
;;Cabot Jeremy;
;;Guernalec Thibault;
;;Schonberger Sebastian;
;4;Gougeard Alexis;
;;Maurelet Flavien;
;;Leroux Samuel;
;;Zimmerman Georg;
;;Suter Joel;
;;Morin Emmanuel;
;;Raugel Antoine;
;;Gallopin Tony;
settimana-internazionale-coppi-e-bartali-2021;2;Dina Marton;race/settimana-internazionale-coppi-e-bartali/2021
;;Azparren Xabier Mikel;
;;Visintainer Lorenzo;
;;Dima Emil;
;;Carollo Francesco;
;;Petrucci Mattia;
;3;Osorio Alejandro;
;;Reyes Rubio;
;;Zardini Edoardo;
;;Nibali Antonio;
;;Senni Manuel;
;;Garosio Andrea;
;;Bravo Garikoitz;
;4;Boaro Manuele;
;;Gonzalez Abner;
;;Juaristi Txomin;
;;Azparren Xabier Mikel;
;;Zardini Edoardo;
;;Canaveral Jonatan;
;;Osorio Alejandro;
;;Nibali Antonio;
;;Sepulvada Eduardo;
;;Niv Guy;
;;Scaroni Cristian;
;5;Swift Ben;
;;Honore Mikkel Frolich;
;;De Marchi Alessandro;
;;Jorgenson Matteo;
;;Carboni Giovanni;
;;Fancellu Alessandro;
;;Osorio Alejandro;
volta-ao-algarve-2021;1;Canal Carlos;race/volta-ao-algarve/2021
;;Irisarri Jon;
;;Cesar Gustavo;
;;Nunes Hugo;
;;Paredes Cesar Nicolas;
;2;Touze Damien;
;;Molly Kenny;
;;Carisey Clement;
;;Azparren Xabier Mikel;
;;Costa Fabio;
;;Laverick Joe;
;;Scheulen Marvin;
;;Caldeira Samuel;
;3;Casemiro Henrique;
;;Bol Jetse;
;;Moreno Javier;
;;Irizar Julen;
;5;Gibbons Ryan;
;;Naesen Oliver;
;;Schwarzmann Michael;
;;Morkov Michael;
;;Bennett Sam;
;;Thomas Benjamin;
;;Finetto Mauro;
;;Bou Joan;
;;Fernandes Luis;
;;Ackermann Pascal;
;;Van Poppel Danny;
;;Saez Hector;
;;Pinto Pedro;
vuelta-a-andalucia-ruta-ciclista-del-sol-2021;1;Sprengers Thomas;race/ruta-del-sol/2021
;;Oliveira Rui;
;;Soto Antonio Jesus;
;2;Van Poucke Aaron;
;;Oliveira Rui;
;;Piccoli James;
;;Bayer Tobias;
;;Roosen Timo;
;;Cuadros Alvaro;
;;Gibbons Ryan;
;3;Mate Luis Angel;
;;Oliveira Rui;
;;Sprengers Thomas;
;;Berrade Uko;
;;Ries Michel;
;;Stalnov Nikita;
;;Van Hooydonck Nathan;
;;Piccoli James;
;;Bizkarra Mikel;
;;Amezqueta Julen;
;;Carretero Hector;
;;Walsleben Philipp;
;;Avila Edwin;
;;Galvan Francisco;
;;Anderson Edward;
;;Navarro Daniel;
;4;Mate Luis Angel;
;;Van Poucke Aaron;
;;Okamika Ander;
;;Canton Isaac;
;;Ghys Robbe;
;;Perry Benjamin;
;;Lopez Jordi;
;5;Okamika Ander;
;;Mertens Julian;
;;Cuadrado Unai;
giro-di-sicilia-2021;1;Zurlo Matteo;race/giro-di-sicilia/2021
;;Chretien Charles-Etienne;
;;Cortese Jacopo;
;2;Oronte Emerson;
;;Juaristi Txomin;
;;Cassara Giacomo;
;;Salvietti Niccolo;
;;Montagner Eric Paties;
;;Gandin Stefano;
;3;Gonzalez David;
;;Rivi Samuele;
;;Cima Damiano;
;;Double Paul;
;;Tolio Alex;
;;Zandri Francesco;
;;Orrico Davide;
;;King Ben;
;4;Brenner Marco;
;;Hamilton Chris;
;;Froome Chris;
;;Ravasi Edward;
;;Bou Joan;
;;Kreuziger Roman;
;;Amezqueta Julen;
;;Scaroni Cristian;
baloise-belgium-tour-2021;1;Ghys Robbe;race/tour-of-belgium/2021
;;Marchand Gianni;
;;Wirtgen Tom;
;;Van Schip Jan-Willem;
;;Aerts Thijs;
;;Havik Yoeri;
;;Van Den Brande Julien;
;;Marit Arne;
;3;Van Schip Jan-Willem;
;;Sweeck Laurens;
;;Beullens Cedric;
;;Maestri Mirco;
;;Goeman Andreas;
;4;Van Der Hoorn Taco;
;;Rickaert Jonas;
;;Zoccarato Samuele;
;;Gonzalez Roberto Carlos;
;;Bugter Luuc;
;;Mullen Ryan;
;5;Havik Piotr;
;;Kamp Ryan;
;;Lemoine Cyril;
;;Van Kessel Corne;
;;Bouts Jordy;
presidential-cycling-tour-of-turkey-2021;1;Slik Ivar;race/tour-of-turkey/2021
;;De Bie Sean;
;2;Zoccarato Samuele;
;;Weulink Meindert;
;;Buts Vitaliy;
;;Zakharov Artyom;
;;Lopez-Cozar Juan Antonio;
;;Etxeberria Jose;
;;Tracz Szymon;
;;Castillo Ulises Alfredo;
;3;Poli Umberto;
;;Ballarin Iker;
;;Venchiarutti Nicola;
;;Castillo Ulises Alfredo;
;4;Slik Ivar;
;;Ross Kent;
;;Bazkhou Stanislau;
;;Rosli Muhammad Nur Aiman Bin;
;5;Brandle Matthias;
;;Suter Joel;
;;Maestri Mirco;
;;Ziga Jerman;
;;Mcgeough Cormac;
;;Sinschek Nils;
;;Buts Vitaliy;
;6;Schonberger Sebastian;
;;Rivi Samuele;
;;Slik Ivar;
;;Paquot Tom;
;;Zoccarato Samuele;
;7;Tonelli Alessandro;
;;Gavazzi Francesco;
;;Celano Danilo;
;;Irizar Julen;
;8;Steels Stijn;
;;Rivi Samuele;
;;De Bie Sean;
;;Cimolai Davide;
;;Tonelli Alessandro;
;;Tvetcov Sergei;
;;Resell Erik Nordsater;
;;Smit Willie;
;;Fernandez Delio;
;;Maestri Mirco;
skoda-tour-de-luxembourg-2021;3;Kirsch Alex;race/tour-de-luxembourg/2021
;;O'connor Ben;
;;Walsleben Philipp;
;;De Buyst Jasper;
;;Desal Ceriel;
;1;Molly Kenny;
;;Schonberger Sebastian;
;;Bauer Jack;
;;Fuentes Angel;
;;Oronte Emerson;
;;Siskevicius Evaldas;
;2;Schonberger Sebastian;
;;Gradek Kamil;
;;De Vos Adam;
;;Molly Kenny;
;5;Molly Kenny;
;;Vergaerde Otto;
;;King Ben;
;;Hulgaard Morten;
tour-of-britain-2021;1;Walker Max;race/tour-of-britain/2021
;;Dlamini Nic;
;;Scott Jacob;
;;Stockwell Oliver;
;;Rosskopf Joey;
;2;Carpenter Robin;
;;Sessler Nicolas;
;;Scott Jacob;
;;Mazzone Tom;
;;Bjergfelt William;
;4;Scott Jacob;
;;Sessler Nicolas;
;;Lewis Gruffud;
;;Peckover Oliver;
;;Murguialday Jokin;
;;Donaldson Robert;
;5;Bigham Dan;
;;Mazzone Tom;
;;Scott Jacob;
;;Blevins Chris;
;;Zukowsky Nickolas;
;6;Cavendish Mark;
;;Janssens Jimmy;
;;Joyce Colin;
;;Hollyman Mason;
;;Townsend Rory;
;;Declercq Tim;
;;Bennett George;
;;Donovan Mark;
;;Mclay Daniel;
;7;Ballerini Davide;
;;Lampaert Yves;
;;Eenkhoorn Pascal;
;;Jorgenson Matteo;
;;Nicolau Joel;
;;Blevins Chris;
;8;Carpenter Robin;
;;Healy Ben;
;;Paluta Michal;
;;Murguialday Jokin;
;;Bjergfelt William;
;;Gloag Thomas;
gran-camino-2022;1;Barrenetxea Jon;race/gran-camino/2022
;;Lopez Jordi;
;;Bol Jetse;
;;Rojas Brandon;
;;Viegas Daniel;
;;Silva Joaquim;
;;Goncalves Jose;
;;Angulo Antonio;
settimana-internazionale-coppi-e-bartali-2022;1;Paquot Tom;race/settimana-internazionale-coppi-e-bartali/2022
;;Pellaud Simon;
;;Bortoluzzi Giovanni;
;;Umbri Gidas;
;2;Zardini Edoardo;
;;Gamper Patrick;
;;Van Den Berg Julius;
;;Zambelli Samuele;
;3;Cattaneo Mattia;
;;Hollyman Mason;
;;Gallopin Tony;
;;Riesebeek Oscar;
;;Shaw James;
;;Pinzon Edgar Andres;
;;Garosio Andrea;
;;Nibali Antonio;
;;Zardini Edoardo;
;;Monaco Alessandro;
;;Covili Luca;
;4;Wirtgen Luc;
;;Rivi Samuele;
;;Piras Andrea;
;;Garosio Andrea;
;;Dima Emil;
;;Wright Paul;
;5;Wandahl Frederik;
;;Van Den Bossche Fabio;
;;Martin David;
;;Carboni Giovanni;
;;Cortese Jacopo;
;;Van Den Berg Julius;
;;Goldstein Omer;
;;Paquot Tom;
;;Meens Johan;
;;Cerny Josef;
;;Cavagna Remi;
saudi-tour-2022;1;Urianstad Martin;race/tour-de-saudi-arabia/2022
;;Tzortzakis Polychronis;
;2;Urianstad Martin;
;;Tzortzakis Polychronis;
;;Meijers Jeroen;
;3;Planckaert Edward;
;;Turgis Anthony;
;;Declercq Benjamin;
;4;Tzortzakis Polychronis;
;;Othman Muhamed;
;5;Tzortzakis Polychronis;
;;Urianstad Martin;
;;Charmig Anthon;
;;Steimle Jannik;
arctic-race-of-norway-2021;1;Tore Vabo Andre;race/arctic-race-of-norway/2021
;;Brussenskiy Gleb;
;;Gougeard Alexis;
;;Colman Alex;
;2;Janssens Jimmy;
;;Desal Ceriel;
;;Beullens Cedric;
;;Dversnes Fredrik;
;;Naesen Oliver;
;3;Dversnes Fredrik;
;;Laas Martin;
;;Azparren Xabier Mikel;
;;Reynders Jens;
;;Duval Julien;
;4;Walsleben Philipp;
;;Terpstra Niki;
;;De Gendt Aime;
;;Desal Ceriel;
;;Resell Erik Nordsater;
;;Tore Vabo Andre;
;;Delettre Alexandre;
;;Grosu Eduard-Michael;
;;Champion Thomas;
La-route-d-occitanie-la-depeche-du-midi-2021;1;Cuadros Alvaro;race/la-route-d-occitanie/2021
;;Molenaar Alex;
;;Duval Julien;
;;Bravo Garikoitz;
;;Hollmann Juri;
;;Garcia Pierna Carlos;
;;Fedorov Yevgeniy;
;2;Van Engelen Adne;
;;Madrazo Angel;
;;Leroux Samuel;
;;Van Niekirk Morne;
;;Retailleau Valentin;
;4;Cort Magnus;
;;Brambilla Gianluca;
;;Geniez Alexandre;
;;Gallopin Tony;
;;Dewulf Stan;
;;Guillonnet Adrien;
;;Cabot Jeremy;
;3;Ruiz Ibon;
;;Lopez Diego;
;;Quintana Dayer;
;;Gaillard Marlon;
;;Hollmann Juri;
;;Iturria Mikel;
;;Navarro Daniel;
;;Cuadros Alvaro;
;;Murguialday Jokin;
tour-de-wallonie-2021;1;Goeman Andreas;race/tour-de-wallonie/2021
;;Paquot Tom;
;;Quaade Rasmus;
;;Gougeard Alexis;
;;Van Den Berg Julius;
;;Planckaert Baptiste;
;;De Bondt Dries;
;2;De Bondt Dries;
;;Aerts Toon;
;;Lopez Juan Pedro;
;;Hermans Quinten;
;;Resell Erik Nordsater;
;;Owen Logan;
;3;Lopez Juan Pedro;
;;Joseph Thomas;
;;Van Asbroeck Tom;
;;Vermeersch Florian;
;4;Planckaert Baptiste;
;;Vermeersch Florian;
;;Aerts Toon;
;;Van Asbroeck Tom;
;;Gougeard Alexis;
;;De Marchi Alessandro;
;;Lietaer Eliot;
;;Vliegen Loic;
;;Van Gestel Dries;
;5;Hansen Jesper;
;;Leysen Senne;
;;Quinn Sean;
;;Beppu Fumiyuki;
;;Vanhoof Ward;
postnord-danmark-rundt-tour-of-denmark-2021;1;Van Poucke Aaron;race/tour-of-denmark/2021
;;Apers Ruben;
;;Jensen Frederik Irgens;
;;Banaszek Norbert;
;;Wallin Rasmus Bogh;
;2;Quaade Rasmus;
;;Kaczmarek Jakub;
;;Kristensen Mads Ostergaard;
;;Wallin Rasmus Bogh;
;;Toudal Emil;
;3;Maestri Mirco;
;;Banaszek Adrian;
;;Toudal Emil;
;;Stampe Daniel;
;;Kristensen Mads Ostergaard;
;;Vandepitte Nathan;
;4;Zukowsky Nickolas;
;;Joyce Colin;
;;Van Poucke Aaron;
;;Kristensen Mads Ostergaard;
;;Salmon Martin;
;;Toudal Emil;
;;Nielsen Sebastian;
;;Foldager Anders;
deutschland-tour-2021;1;Uhlig Henri;race/deutschland-tour/2021
;;Colman Alex;
;;Huppertz Joshua;
;;Jageler Robert;
;2;Vervaeke Louis;
;;Peter Jannis;
;;Galvan Francisco;
;;Murphy Kyle;
;;Soler Marc;
;3;Uhlig Henri;
;;Stockman Abram;
;;De Backer Bert;
;;Colman Alex;
;4;Cavagna Remi;
;;Wolf Justin;
;;Cataldo Dario;
tour-of-norway-2021;1;Sessler Nicolas;race/tour-of-norway/2021
;;Mertens Julian;
;;Jensen Frederik Irgens;
;;Charmig Anthon;
;2;Hjemsaeter Olav;
;;Kjeldsen Christian Spang;
;;Charmig Anthon;
;;Schandorff Iwersen Emil;
;;Foss Tobias;
;3;Verwilst Aaron;
;;Fouche James;
;;Grignard Sebastien;
;;Rahbek Mads;
;4;Hjemsaeter Olav;
;;Kjeldsen Christian Spang;
;;Nyborg Broge Nils Lau;
;;Lewis Gruffud;
;;Rhim Brendan;
;;Appel Stijn;
;;Vanhoof Ward;
tour-de-france-2018;1;Ledanois Kevin;race/tour-de-france/2018
;;Offredo Yoann;
;;Cousin Jerome;
;2;Chavanel Sylvain;
;;Smith Dion;
;;Gogl Michael;
;4;Claeys Dimitri;
;;Perez Anthony;
;;Cousin Jerome;
;;Van Keirsbulck Guillaume;
;5;Chavanel Sylvain;
;;Calmejane Lilian;
;;De Buyst Jasper;
;;Gesbert Elie;
;;Edet Nicolas;
;;Skujins Toms;
;;Vermote Julien;
;6;Grellier Fabien;
;;Gaudin Damien;
;;Pichon Laurent;
;;Smith Dion;
;;Turgis Anthony;
;7;Offredo Yoann;
;;Pichon Laurent;
;8;Minnaard Marco;
;;Ten Dam Laurens;
;;Grellier Fabien;
;9;Calmejane Lilian;
;;Haga Chad;
;;Janse Van Rensburg Reinardt;
;;Le Gac Olivier;
;;Edet Nicolas;
;;Cousin Jerome;
;;Gaudin Damien;
;;Fraile Omar;
;;Tolhoek Antwan;
;;De Gendt Thomas;
;10;Alaphilippe Julian;
;;Sagan Peter;
;;Slagter Tom-Jelte;
;;Gesbert Elie;
;;Van Avermaet Greg;
;;Gesink Robert;
;;Gilbert Philippe;
;;Pauwels Serge;
;;Gaudu David;
;;Postlberger Lukas;
;;Impey Daryl;
;;Izagirre Ion;
;;Gallopin Tony;
;;Moinard Amael;
;;Bauer Jack;
;;Calmejane Lilian;
;;Taaramae Rein;
;;Martin Guillaume;
;;Degand Thomas;
;;Vichot Arthur;
;;Molard Rudy;
;11;Alaphilippe Julian;
;;Van Garderen Tejay;
;;Perez Anthony;
;;Navarro Daniel;
;;Sicard Romain;
;;Barguil Warren;
;;Soler Marc;
;;Valgren Michael;
;;Pauwels Serge;
;;Atapuma Darwin;
;;Skujins Toms;
;;Taaramae Rein;
;;Izagirre Gorka;
;;Kung Stefan;
;;Nieve Mikel;
;;Marczynski Tomasz;
;;De Gendt Thomas;
;12;Rolland Pierre;
;;Martinez Daniel Felipe;
;;Pauwels Serge;
;;Majka Rafal;
;;Muhlberger Gregor;
;;Valverde Alejandro;
;;Amador Andrey;
;;Nieve Mikel;
;;Zakarin Ilnur;
;;Latour Pierre;
;;Barguil Warren;
;;Moinard Amael;
;;Bouet Maxime;
;;Van Garderen Tejay;
;;Izagirre Gorka;
;;Gesink Robert;
;;Kruijswijk Steven;
;;Gaudu David;
;;Ten Dam Laurens;
;;Edet Nicolas;
;;Navarro Daniel;
;;Hansen Jesper;
;13;Schar Michael;
;;Claeys Dimitri;
;;Scully Tom;
;;De Gendt Thomas;
;14;Sagan Peter;
;;Van Avermaet Greg;
;;Alaphilippe Julian;
;;Gilbert Philippe;
;;Izagirre Gorka;
;;Lampaert Yves;
;;Martinez Daniel Felipe;
;;Rolland Pierre;
;;Geschke Simon;
;;Koren Kristijan;
;;Hepburn Michael;
;;Impey Daryl;
;;Amador Andrey;
;;Caruso Damiano;
;;Kung Stefan;
;;Bodnar Maciej;
;;Fraile Omar;
;;Slagter Tom-Jelte;
;;Vermote Julien;
;;De Gendt Thomas;
;;Calmejane Lilian;
;;Cousin Jerome;
;;Boudat Thomas;
;;Chavanel Sylvain;
;;Gaudin Damien;
;;Gogl Michael;
;;Stuyven Jasper;
;;Laporte Christophe;
;;Edet Nicolas;
;;Perez Anthony;
;;Turgis Anthony;
;;Degand Thomas;
;15;Mollema Bauke;
;;Pauwels Serge;
;;Majka Rafal;
;;Izagirre Ion;
;;Pozzovivo Domenico;
;;Terpstra Niki;
;;Sagan Peter;
;;Van Avermaet Greg;
;;Martinez Daniel Felipe;
;;Dillier Silvan;
;;Arndt Nikias;
;;Moinard Amael;
;;Vachon Florian;
;;Colbrelli Sonny;
;;Howson Damien;
;;Impey Daryl;
;;Bennati Daniele;
;;Erviti Imanol;
;;Soler Marc;
;;Poljanski Pawel;
;;Cort Magnus;
;;Valgren Michael;
;;Vichot Arthur;
;;Calmejane Lilian;
;;Grellier Fabien;
;;Sicard Romain;
;;Bernard Julien;
;;Skujins Toms;
;;Herrada Jesus;
;16;Yates Adam;
;;Alaphilippe Julian;
;;Amador Andrey;
;;Barguil Warren;
;;Bennati Daniele;
;;Boasson Hagen Edvald;
;;Boudat Thomas;
;;Bouet Maxime;
;;Burghardt Marcus;
;;Caruso Damiano;
;;Clarke Simon;
;;Cort Magnus;
;;De Kort Koen;
;;Dillier Silvan;
;;Durasek Kristijan;
;;Edet Nicolas;
;;Frank Mathias;
;;Gesink Robert;
;;Stuyven Jasper;
;;Gilbert Philippe;
;;Hardy Romain;
;;Hayman Mathew;
;;Izagirre Gorka;
;;Izagirre Ion;
;;Kragh Andersen Soren;
;;Laporte Christophe;
;;Latour Pierre;
;;Martin Guillaume;
;;Minnaard Marco;
;;Moinard Amael;
;;Mollema Bauke;
;;Bernard Julien;
;;Muhlberger Gregor;
;;Navarro Daniel;
;;Pichon Laurent;
;;Politt Nils;
;;Pozzovivo Domenico;
;;Slagter Tom-Jelte;
;;Soler Marc;
;;Theuns Edward;
;;Valgren Michael;
;;Van Avermaet Greg;
;;Van Garderen Tejay;
;;Vanendert Jelle;
;;Vermote Julien;
;;Molard Rudy;
;;Geschke Simon;
;17;Edet Nicolas;
;;Kangert Tanel;
;;Alaphilippe Julian;
;;Herrada Jesus;
;;Durasek Kristijan;
;;Valverde Alejandro;
;;Yates Adam;
;;Martinez Daniel Felipe;
;;Geschke Simon;
;;Izagirre Gorka;
;;Soler Marc;
;;Majka Rafal;
;;Fraile Omar;
;;Pellizotti Franco;
;;Muhlberger Gregor;
;;Navarro Daniel;
;;Nieve Mikel;
;;Muhlberger Gregor;
;18;Durbridge Luke;
;;Terpstra Niki;
;;Van Keirsbulck Guillaume;
;;Boudat Thomas;
;;Hayman Mathew;
;19;Koren Kristijan;
;;Burghardt Marcus;
;;Postlberger Lukas;
;;Dillier Silvan;
;;Gaudin Damien;
;;Kangert Tanel;
;;Yates Adam;
;;Jungels Bob;
;;Alaphilippe Julian;
;;Barguil Warren;
;;Chavanel Sylvain;
;;Izagirre Gorka;
;;VIchot Arthur;
;;Amador Andrey;
;;Mollema Bauke;
;;Slagter Tom-Jelte;
;;Hardy Romain;
;;Bennati Daniele;
;;Burghardt Marcus;
;;Nieve Mikel;
;21;Phinney Taylor;
;;Dillier Silvan;
;;Gaudin Damien;
;;Politt Nils;
;;Schar Michael;
;;Van Keirsbulck Guillaume;
;5;Reynders Jens;race/tour-de-hongrie/2022
;;Dalla Valla Nicolas;
;;Finkst Tilen;
;;Marengo Umberto;
;;Martin David;
;;Karl Adam Kristof;
;4;Van Poucke Aaron;
;;Dima Emil;
;;Vandebosch Toon;
;;Etxebarria Josu;
;3;Fancellu Alessandro;
;;Zurita Ricardo Alejandro;
;;Swirbul Keegan;
;;Van Poucke Aaron;
;;Dima Emil;
;2;Reynders Jens;
;;Monaco Alessandro;
;;Battistella Samuele;
;;Kusztor Peter;
;;Baroncini Filippo;
;;Per David;
;;Leitao Iuri;
;;Zambanini Edoardo;
;1;Van Poucke Aaron;
;;Reynders Jens;
;;Dina Marton;
;;Filutas Viktor;
;;Rosskopf Joey;
;5;Mannion Gavin;race/international-tour-of-hellas/2022
;;Toudal Emil;
;;Hellemose Asbjorn;
;;Svestad-Bardseng Embret;
;;Fouche James;
;;Chirico Luca;
;;Tzortzakis Polychronis;
;;Ilias Periklis;
;4;Monaco Alessandro;
;;Stedham Maximilian;
;;Rahbek Mads;
;;Lemmens Sander;
;;Barrenetxea Jon;
;3;Molly Kenny;
;;Marengo Umberto;
;;Zardini Edoardo;
;;Restrepo Jhonatan;
;;Mannion Gavin;
;;Currie Logan;
;;Gate Aaron;
;;Stewart Mark;
;;Double Paul;
;;Svestad-Bardseng Embret;
;;Ilias Periklis;
;;Miltiadis Andreas;
;;Marchand Gianni;
;;Teugels Lennert;
;2;Hellemose Asbjorn;
;;Johnston Calum;
;;Chirico Luca;
;;Mannion Gavin;
;;Lemmens Sander;
;;Svestad-Bardseng Embret;
;;Budyak Anatoliy;
;1;Nyborg Broge Nils Lau;
;;Gate Aaron;
;;Fouche James;
;;Miltiadis Andreas;
;4;Fiorelli Filippo;race/giro-di-sicilia/2022
;;Belleri Michael;
;;Pineda Rafael;
;;Gomez German;
;;Martin David;
;;Cote Pier-Andre;
;;Gandin Stefano;
;;Venchiarutti Nicola;
;;Zurlo Matteo;
;3;Miholjevic Fran;
;;Iacchi Alessandro;
;;Burchio Federico;
;;Svreck Martin;
;;Stojnic Veljko;
;;Furlan Matteo;
;2;Nordal Mattias;
;;Mancipe Andres Liber;
;;Kadota Yusuke;
;;Bassett Stephen;
;;Masotto Giulio;
;;Gandin Stefano;
;;Iacchi Alessandro;
;;Burchio Federico;
;;Rocchetta Cristian;
;1;Belleri Michael;
;;Soto Nelson;
;;Petrelli Gabriele;
;;Ropero Alejandro;
;;Draghi Guido;
;;Gandin Stefano;
;;Zandri Francesco;
;4;Murphy Kyle;race/tour-of-antalya/2022
;;Benz Pirmin;
;;Tiggert Matthew;
;;Stockman Abram;
;2;Turek Daniel;
;;Scott Jacob;
;;Bialiauski Vasili;
;3;Knolle Jon;
;;Szarka Gergely;
;;Robeet Ludovic;
;;Gibson Matthew;
;;Scott Jacob;
;1;Holther Westgaard;
;;Gruffudd Lewis;
;;Del Grosso Bodi;
;;Masotto Giulio;
;;Kretschy Moritz;
;4;Steimle Jannik;race/okolo-slovenska/2021
;;Adria Roger;
;;Andersen Idar;
;;Bodnar Maciej;
;;Bol Cees;
;;Einhorn Itamar;
;;Felline Fabio;
;;Froome Chris;
;;Groves Kaden;
;;Juul-Jensen Christopher;
;;Kaczmarek Jakub;
;;Konychev Alexander;
;;Kukrle Michal;
;;Lutsenko Alexey;
;;Markl Niklas;
;;Neilands Krists;
;;Nekrasov Denis;
;;Oss Daniel;
;;Otruba Jakub;
;;Pedersen Casper;
;;Petrelli Gabriele;
;;Pozzovivo Domenico;
;;Sagan Peter;
;;Stokbro Andreas;
;;Strakhov Dmitry;
;;Sunderland Dylan;
;;Toupalik Adam;
;;Wandahl Frederik;
;3;Garosio Andrea;
;;Tonelli Alessandro;
;;Adria Roger;
;;Zahalka Matej;
;;Budzinski Tomasz;
;2;Otruba Jakub;
;;Dversnes Fredrik;
;;Andersen Idar;
;;Murn Bostjan;
;;Garosio Andrea;
;;Moreno Ivan;
;1;Haring Martin;
;;Garosio Andrea;
;;Adria Roger;
;;Castrillo Jaime;
;;Lunder Erik;
;;Budzinski Tomasz;
;;Sunderland Dylan;
;;Petrelli Gabriele;
;5;Heming Mika;race/romanian-cycling-tour/2021
;;Marcu Adi Narcus;
;;Carstensen Lucas;
;;Guardini Andrea;
;;Danilovic Marko;
;;Szostka Pawel;
;;Trzesowski Konrad;
;3;Rochetta Cristian;
;;Boguslawzki Marceli;
;;Paterski Maciej;
;;Nikitin Matvey;
;1;Dani Crista;
;1;Plapp Luke;race/tour-de-l-avenir/2021
;;Wenzel Mats;
;;Coqueret Louis;
;;Rodriguez Jordan Santiago;
;;Kolze Changizi Sebastian;
;3;Otruba Jakub;race/sibiu-cycling-tour/2021
;;Turek Daniel;
;;Bernas Pawel;
;2;Turek Daniel;
;;Zandri Francesco;
;;Bernas Pawel;
;;Loderer Timon;
;;Hoehn Alex;
;;Granigan Noah;
;;Gonzalez Roberto Carlos;
;;Kipkemboi Salim;
;1;Zubar Vladislav;
;;Appel Stijn;
;;Couanon Jonathan;
;;Turek Daniel;
;;Kepplinger Rainer;
;;Bichlmann Daniel;
;;Grosu Eduardo-Michael;
;;Knolle Jon;
;;Fiala Petr;
;;Bernas Pawel;
;10;Carboni Matteo;race/giro-ciclistico-d-italia/2021
;;Sandri Edoardo;
;;Bennassar Joan;
;;Gallo Andrea;
;;Hoole Daan;
;;Paties Eric;
;;Ferri Edoardo;
;;Healy Ben;
;;Menegotto Jacopo;
;;Ciuccarelli Riccardo;
;;Carretta Riccardo;
;;Di Bernardo Nicolo;
;8;Thompson Reuben;
;;Gaffuri Mattia;
;;Hellemose Asbjorn;
;;Skivild Robin Juel;
;;Belleri Michael;
;;Johannessen Anders Halland;
;;El Gouzi Omar;
;;Sandri Edoardo;
;;Mulubrhan Henok;
;;Krijnesen Jelte;
;;Wood Harrison;
;;Frigo Marco;
;;Benedetti Gabriele;
;;Zambanini Edoardo;
;;Galimberti Francesco;
;;Huera Richard;
;;Ciuccarelli Riccardo;
;;Tarozzi Manuele;
;;Iribar Unai;
;;Petrelli Gabriele;
;;Healy Ben;
;;Turner Ben;
;;Garzon Herrera Marlon David;
;;Nieri Alessio;
;;Ginestra Lorenzo;
;;Voisard Yannis;
;;Lolli Marco;
;;Etxebarria;
;;Mifsud Andrea;
;;Agostini Nicholas;
;;Rojas Brandon Alejandro;
;;Porta Gabriele;
;;Pena Jesus David;
;6;Turner Ben;
;;Van Der Beken Aaron;
;;Verre Alessandro;
;;Petrelli Gabriele;
;;Van Den Berg Marijn;
;;Ansalori Emanuele;
;;Cantoni Andrea;
;;Pena Jesus David;
;;Frigo Marco;
;;Drizners Jarrad;
;;Paties Eric;
;;Belloni Manuel;
;;Charmig Anthon;
;5;Healy Ben;
;;Gazzoli Michele;
;;Carboni Matteo;
;;Belleri Michael;
;;Pietrobon Andrea;
;;Raccaini Simone;
;;Guzzo Federico;
;;Charrin Alois;
;;Mifsud Andrea;
;3;Colnaghi Luca;
;;Iribar Unai;
;;Cervellera Andrea;
;;Tarozzi Manuele;
;2;Sens Connor;
;;Peschi Lorenzo;
;;Masotto Leandro;
;;Nencini Tommaso;
;1;Ferri Edoardo;
;;Consolaro Christopher;
;;Bobbo Riccardo;
;;Carollo Francesco;
;;Garrison Michael;
;;Cantoni Andrea;
;2;Szymacha Kamil;race/orlen-nations-grand-prix/2021
;;Gonov Lev;
