WCS_Rider,PCS_Rider
"Gaudu, David",Gaudu David
"Carthy, Hugh",Carthy Hugh
"Kruijswijk, Steven",Kruijswijk Steven
"Impey, Daryl",Impey Daryl
"Schachmann, Maximilian",Schachmann Maximilian
"Clement, Stef",Clement Stef
"Vakoc, Petr",Vakoc Petr
"Verona, Carlos",Verona Carlos
"Howson, Damien",Howson Damien
"Erviti, Imanol",Erviti Imanol
"Formolo, Davide",Formolo Davide
"Rojas, José",Rojas José
"Ait El Abdia, Anass",Ait El Abdia Anass
"Lunke, Sindre",Lunke Sindre
"Simón, Jordi",Simón Jordi
"Meijers, Jeroen",Meijers Jeroen
"Bookwalter, Brent",Bookwalter Brent
"Niemiec, Przemyslaw",Niemiec Przemyslaw
"Teklehaimanot, Daniel",Teklehaimanot Daniel
"Prades, Edu",Prades Edu
"Sánchez, Samuel",Sánchez Samuel
"Pantano, Jarlinson",Pantano Jarlinson
"Jules, Justin",Jules Justin
"Blain, Alexandre",Blain Alexandre
"Moses, Tom",Moses Tom
"Delaplace, Anthony",Delaplace Anthony
"Mottier, Justin",Mottier Justin
"Sivakov, Pavel",Sivakov Pavel
"Duquennoy, Jimmy",Duquennoy Jimmy
"Skjerping, Kristoffer",Skjerping Kristoffer
"De Ketele, Kenny",De Ketele Kenny
"Feillu, Brice",Feillu Brice
"Durbridge, Luke",Durbridge Luke
"Brändle, Matthias",Brändle Matthias
"Theuns, Edward",Theuns Edward
"De Buyst, Jasper",De Buyst Jasper
"Stallaert, Joeri",Stallaert Joeri
"Pichot, Alexandre",Pichot Alexandre
"Edmondson, Alex",Edmondson Alex
"Poppel, Boy van",Poppel Boy van
"Backaert, Frederik",Backaert Frederik
"Naesen, Lawrence",Naesen Lawrence
"Hoem, Bjørn",Hoem Bjørn
"Ligthart, Pim",Ligthart Pim
"Allegaert, Piet",Allegaert Piet
"Dunne, Conor",Dunne Conor
"McNally, Mark",McNally Mark
"Mas, Lluís",Mas Lluís
"Bagot, Yoann",Bagot Yoann
"Plaza, Rubén",Plaza Rubén
"Herklotz, Silvio",Herklotz Silvio
"Lastra, Jonathan",Lastra Jonathan
"Ferrari, Fabricio",Ferrari Fabricio
"Maté, Luis Angel",Maté Luis Angel
"De La Parte, Victor",De La Parte Victor
"Fernández, Rubén",Fernández Rubén
"Mühlberger, Gregor",Mühlberger Gregor
"Montaguti, Matteo",Montaguti Matteo
"Rossetto, Stéphane",Rossetto Stéphane
"Pardilla, Sergio",Pardilla Sergio
"Courteille, Arnaud",Courteille Arnaud
"Belkov, Maxim",Belkov Maxim
"Moinard, Amaël",Moinard Amaël
"Skujinš, Toms",Skujinš Toms
"Dam, Laurens ten",Dam Laurens ten
"Haig, Jack",Haig Jack
"Mohoric, Matej",Mohoric Matej
"Kreuziger, Roman",Kreuziger Roman
"Albasini, Michael",Albasini Michael
"Power, Robert",Power Robert
"Meintjes, Louis",Meintjes Louis
"Zhupa, Eugert",Zhupa Eugert
"Foliforov, Alexander",Foliforov Alexander
"Schönberger, Sebastian",Schönberger Sebastian
"Gamper, Patrick",Gamper Patrick
"Salvietti, Niccolò",Salvietti Niccolò
"Koshevoy, Ilia",Koshevoy Ilia
"Howard, Leigh",Howard Leigh
"Fortin, Filippo",Fortin Filippo
"Orrico, Davide",Orrico Davide
"Nikolaev, Sergey",Nikolaev Sergey
"Frankiny, Kilian",Frankiny Kilian
"Roy, Jérémy",Roy Jérémy
"Villella, Davide",Villella Davide
"Pirazzi, Stefano",Pirazzi Stefano
"Gavazzi, Francesco",Gavazzi Francesco
"Totò, Paolo",Totò Paolo
"Bagioli, Nicola",Bagioli Nicola
"Bongiorno, Manuel",Bongiorno Manuel
"Martínez, Daniel",Martínez Daniel
"Scarponi, Michele",Scarponi Michele
"Burghardt, Marcus",Burghardt Marcus
"Veuchelen, Frederik",Veuchelen Frederik
"Daniel, Gregory",Daniel Gregory
"Martinelli, Davide",Martinelli Davide
"Stalnov, Nikita",Stalnov Nikita
"Pöstlberger, Lukas",Pöstlberger Lukas
"Houle, Hugo",Houle Hugo
"Chérel, Mikaël",Chérel Mikaël
"Pasqualon, Andrea",Pasqualon Andrea
"Buchmann, Emanuel",Buchmann Emanuel
"Bialoblocki, Marcin",Bialoblocki Marcin
"Benedetti, Cesare",Benedetti Cesare
"Shalunov, Evgeny",Shalunov Evgeny
"Sbaragli, Kristian",Sbaragli Kristian
"Rovny, Ivan",Rovny Ivan
"Tratnik, Jan",Tratnik Jan
"Stuyven, Jasper",Stuyven Jasper
"Alafaci, Eugenio",Alafaci Eugenio
"Pedersen, Mads",Pedersen Mads
"Kozonchuk, Dmitry",Kozonchuk Dmitry
"Kuznetsov, Vyatcheslav",Kuznetsov Vyatcheslav
"Albanese, Vincenzo",Albanese Vincenzo
"Sánchez, Luis León",Sánchez Luis León
"Conti, Valério",Conti Valério
"Didier, Laurent",Didier Laurent
"Samoilau, Branislau",Samoilau Branislau
"Tsatevich, Alexey",Tsatevich Alexey
"Busato, Matteo",Busato Matteo
"Marcato, Marco",Marcato Marco
"Marczynski, Tomasz",Marczynski Tomasz
"Dupont, Hubert",Dupont Hubert
"Firsanov, Sergey",Firsanov Sergey
"Lagutin, Sergey",Lagutin Sergey
"Vaugrenard, Benoît",Vaugrenard Benoît
"Pellizotti, Franco",Pellizotti Franco
"Bárta, Jan",Bárta Jan
"Hofland, Moreno",Hofland Moreno
"Molard, Rudy",Molard Rudy
"Battaglin, Enrico",Battaglin Enrico
"Amézqueta, Julen",Amézqueta Julen
"Bennati, Daniele",Bennati Daniele
"Haga, Chad",Haga Chad
"Ladagnous, Matthieu",Ladagnous Matthieu
"Hirt, Jan",Hirt Jan
"Rosskopf, Joey",Rosskopf Joey
"Dombrowski, Joe",Dombrowski Joe
"Siutsou, Kanstantsin",Siutsou Kanstantsin
"Losada, Alberto",Losada Alberto
"Bilbao, Pello",Bilbao Pello
"Pozzato, Filippo",Pozzato Filippo
"Slagter, Tom-Jelte",Slagter Tom-Jelte
"Kišerlovski, Robert",Kišerlovski Robert
"Chétout, Loïc",Chétout Loïc
"Irvine, Martyn",Irvine Martyn
"Cabot, Jérémy",Cabot Jérémy
"Rickaert, Jonas",Rickaert Jonas
"Ariesen, Tim",Ariesen Tim
"Insausti, Ion Ander",Insausti Ion Ander
"Vendrame, Andrea",Vendrame Andrea
"Dassonville, Flavien",Dassonville Flavien
"Levarlet, Guillaume",Levarlet Guillaume
"Vantomme, Maxime",Vantomme Maxime
"Dumoulin, Samuel",Dumoulin Samuel
"Ferasse, Thibault",Ferasse Thibault
"Maes, Nikolas",Maes Nikolas
"Feng, Chun Kai",Feng Chun Kai
"Pacioni, Luca",Pacioni Luca
"Le Cunff, Kévin",Le Cunff Kévin
"Koning, Peter",Koning Peter
"Pacher, Quentin",Pacher Quentin
"Naesen, Oliver",Naesen Oliver
"Venturini, Clément",Venturini Clément
"Ista, Kevyn",Ista Kevyn
"Turgis, Jimmy",Turgis Jimmy
"Reinders, Elmar",Reinders Elmar
"Gaudin, Damien",Gaudin Damien
"Madrazo, Ángel",Madrazo Ángel
"Šiškevicius, Evaldas",Šiškevicius Evaldas
"Le Gac, Olivier",Le Gac Olivier
"Jakin, Alo",Jakin Alo
"Touzé, Damien",Touzé Damien
"Konovalovas, Ignatas",Konovalovas Ignatas
"Riblon, Christophe",Riblon Christophe
"Napolitano, Danilo",Napolitano Danilo
"Jarrier, Benoît",Jarrier Benoît
"Petit, Adrien",Petit Adrien
"Cardis, Romain",Cardis Romain
"Duval, Julien",Duval Julien
"Baldo, Nicolas",Baldo Nicolas
"Clarke, Jonathan",Clarke Jonathan
"Wolfe, Ben",Wolfe Ben
"Putt, Tanner",Putt Tanner
"Morton, Lachlan",Morton Lachlan
"Thwaites, Scott",Thwaites Scott
"Boswell, Ian",Boswell Ian
"Brown, Nathan",Brown Nathan
"Bennett, Sean",Bennett Sean
"Le Turnier, Mathias",Le Turnier Mathias
"Huffman, Evan",Huffman Evan
"Hofstede, Lennard",Hofstede Lennard
"Britton, Rob",Britton Rob
"Mannion, Gavin",Mannion Gavin
"Korsæth, Truls",Korsæth Truls
"Politt, Nils",Politt Nils
"Trentin, Matteo",Trentin Matteo
"Talansky, Andrew",Talansky Andrew
"Geoghegan Hart, Tao",Geoghegan Hart Tao
"Castillo, Ulises",Castillo Ulises
"Henttala, Joonas",Henttala Joonas
"Blålid, Marius",Blålid Marius
"Holstad, Ludvik",Holstad Ludvik
"Villegas, Juan",Villegas Juan
"Hagen, Carl Fredrik",Hagen Carl Fredrik
"Reguigui, Youcef",Reguigui Youcef
"Røinås, Fridtjof",Røinås Fridtjof
"Eikeland, Ken-Levi",Eikeland Ken-Levi
"Aalrust, Håkon",Aalrust Håkon
"Bevin, Patrick",Bevin Patrick
"Robeet, Ludovic",Robeet Ludovic
"Prémont, Christophe",Prémont Christophe
"Madsen, Kristoffer",Madsen Kristoffer
"Breen, Vegard",Breen Vegard
