stage_name,stage,race,year,climb_difficulty,HC,X1,X2
NA,1,Ronde van Vlaanderen - Tour des Flandres,2018,5,0,0,0
NA,1,Ronde van Vlaanderen - Tour des Flandres,2019,5,0,0,0
NA,1,Ronde van Vlaanderen / Tour des Flandres,2013,5,0,0,0
NA,1,Ronde van Vlaanderen / Tour des Flandres,2014,5,0,0,0
NA,1,Ronde van Vlaanderen / Tour des Flandres,2015,5,0,0,0
NA,1,Ronde van Vlaanderen / Tour des Flandres,2016,5,0,0,0
NA,1,Ronde van Vlaanderen / Tour des Flandres,2017,5,0,0,0
Stage 5,5,Santos Tour Down Under,2013,5,0,0,0
Stage 5,5,Santos Tour Down Under,2015,5,0,0,0
Stage 5,5,Santos Tour Down Under,2016,5,0,0,0
Stage 5,5,Santos Tour Down Under,2017,5,0,0,0
Stage 5,5,Santos Tour Down Under,2018,5,0,0,0
Stage 6,6,Santos Tour Down Under,2019,5,0,0,0
NA,1,Scheldeprijs,2019,0,0,0,0
NA,1,Strade Bianche,2017,5,0,0,0
NA,1,Strade Bianche,2018,5,0,0,0
NA,1,Strade Bianche,2019,5,0,0,0
Stage 4,4,Tirreno - Adriatico,2016,15,0,0,1
Stage 6,6,Tirreno-Adriatico,2013,15,0,0,0
Stage 4,4,Tirreno-Adriatico,2014,25,0,1,2
Stage 4,4,Tirreno-Adriatico,2015,20,0,1,0
Stage 4,4,Tirreno-Adriatico,2017,20,0,1,2
Stage 4,4,Tirreno-Adriatico,2018,15,0,1,0
Stage 5,5,Tirreno-Adriatico,2019,15,0,0,0
Stage 4,4,Tirreno-Adriatico,2019,15,0,0,0
Stage 2,2,Tour Cycliste International du Haut Var,2019,15,0,0,0
Stage 4,4,Tour de Hongrie,2019,10,0,0,1
Stage 2,2,Tour de la Provence,2019,15,0,0,2
Stage 2,2,Tour de l'Ain,2019,25,0,1,2
Stage 3,3,Tour de l'Ain,2019,25,1,0,1
Stage 6,6,Tour de Pologne,2013,25,0,0,0
Stage 6,6,Tour de Pologne,2014,25,0,0,0
Stage 5,5,Tour de Pologne,2015,25,0,0,0
Stage 5,5,Tour de Pologne,2016,25,0,0,0
Stage 7,7,Tour de Pologne,2017,10,0,0,0
Stage 6,6,Tour de Pologne,2018,20,0,0,0
Stage 4,4,Tour de Romandie,2013,40,0,4,0
Stage 3,3,Tour de Romandie,2014,40,0,4,0
Stage 5,5,Tour de Romandie,2015,35,0,3,1
Stage 4,4,Tour de Romandie,2016,30,0,3,0
Stage 4,4,Tour de Romandie,2017,35,0,3,1
Stage 4,4,Tour de Romandie,2018,40,0,3,2
Stage 1,1,Tour de Romandie,2019,30,0,0,5
Stage 7,7,Tour de Suisse,2013,40,1,1,0
Stage 2,2,Tour de Suisse,2014,50,2,0,2
Stage 5,5,Tour de Suisse,2015,40,2,0,0
Stage 5,5,Tour de Suisse,2016,30,0,3,0
Stage 6,6,Tour de Suisse,2017,30,1,1,0
Stage 5,5,Tour de Suisse,2018,40,2,1,0
Stage 9,9,Tour de Suisse,2019,40,1,2,0
Stage 3,3,Tour de Yorkshire,2019,10,0,0,0
Stage 5,5,Tour Down Under,2014,5,0,0,0
Stage 4,4,Tour of Beijing,2013,25,0,1,2
Stage 4,4,Tour of Beijing,2014,25,0,1,2
Stage 5,5,Tour of Colombia,2019,15,0,0,1
