year,fr,pcs
2017,Record Bank E3 Harelbeke,Record Bank E3 Harelbeke
2017,Gent-Wevelgem in Flanders Fields,Gent-Wevelgem in Flanders Fields
2017,Vuelta al Pais Vasco,Vuelta al Pais Vasco
2017,Amstel Gold Race,Amstel Gold Race
2017,Tour de Romandie,Tour de Romandie
2017,Eschborn-Frankfurt 'Rund um den Finanzplatz',Eschborn-Frankfurt 'Rund um den Finanzplatz'
2017,Giro d'Italia,Giro d'Italia
2017,Amgen Tour of California,Amgen Tour of California
2017,Tour de Suisse,Tour de Suisse
2017,Tour de France,Tour de France
2017,Tour de Pologne,Tour de Pologne
2017,Prudential RideLondon-Surrey Classic,Prudential RideLondon-Surrey Classic
2017,BinckBank Tour,BinckBank Tour
2017,Il Lombardia,Il Lombardia
2017,Presidential Cycling Tour of Turkey,Presidential Cycling Tour of Turkey
2017,Dubai Tour,Dubai Tour
2017,Tour of Oman,Tour of Oman
2018,Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
2018,Tour Cycliste International La Provence,Tour Cycliste International La Provence
2018,Vuelta a Castilla y Leon,Vuelta a Castilla y Leon
2018,Vuelta Asturias Julio Alvarez Mendo,Vuelta Asturias Julio Alvarez Mendo
2018,Tour de Yorkshire,Tour de Yorkshire
2018,Tour de l'Ain,Tour de l'Ain
2018,Tour of Slovenia,Tour of Slovenia
2018,Adriatica Ionica Race/Following the Serenissima Routes,Adriatica Ionica Race/Following the Serenissima Routes
2018,Deutschland Tour,Deutschland Tour
2018,Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
2018,Tour of The Alps,Tour of The Alps
2018,Tour of Norway,Tour of Norway
2018,Baloise Belgium Tour,Baloise Belgium Tour
2018,VOO-Tour de Wallonie,VOO-Tour de Wallonie
2018,PostNord Danmark Rundt - Tour of Denmark,PostNord Danmark Rundt - Tour of Denmark
2018,Vuelta a Burgos,Vuelta a Burgos
2018,Arctic Race of Norway,Arctic Race of Norway
2018,OVO Energy Tour of Britain,OVO Energy Tour of Britain
2018,Santos Tour Down Under,Santos Tour Down Under
2018,Cadel Evans Great Ocean Road Race,Cadel Evans Great Ocean Road Race
2018,Tirreno-Adriatico,Tirreno-Adriatico
2018,Volta Ciclista a Catalunya,Volta Ciclista a Catalunya
2018,Record Bank E3 Harelbeke,Record Bank E3 Harelbeke
2018,Gent-Wevelgem in Flanders Fields,Gent-Wevelgem in Flanders Fields
2018,Itzulia Basque Country,Itzulia Basque Country
2018,Amstel Gold Race,Amstel Gold Race
2018,Tour de Romandie,Tour de Romandie
2018,Eschborn-Frankfurt,Eschborn-Frankfurt
2018,Giro d'Italia,Giro d'Italia
2018,Amgen Tour of California,Amgen Tour of California
2018,Tour de Suisse,Tour de Suisse
2018,Tour de France,Tour de France
2018,Prudential RideLondon-Surrey Classic,Prudential RideLondon-Surrey Classic
2018,Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
2018,Tour de Pologne,Tour de Pologne
2018,Bretagne Classic - Ouest-France,Bretagne Classic - Ouest-France
2018,Presidential Cycling Tour of Turkey,Presidential Cycling Tour of Turkey
2018,Il Lombardia,Il Lombardia
2018,Dubai Tour,Dubai Tour
2018,Tour of Oman,Tour of Oman
2019,Tour of Slovenia,Tour of Slovenia
2019,Tour de Suisse,Tour de Suisse
2019,Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
2019,Vuelta a Castilla y Leon,Vuelta a Castilla y Leon
2019,Vuelta Asturias Julio Alvarez Mendo,Vuelta Asturias Julio Alvarez Mendo
2019,Tour de l'Ain,Tour de l'Ain
2019,Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
2019,Vuelta a Andalucia Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
2019,Tour of The Alps,Tour of The Alps
2019,Tour de Yorkshire,Tour de Yorkshire
2019,Tour of Norway,Tour of Norway
2019,Baloise Belgium Tour,Baloise Belgium Tour
2019,Santos Tour Down Under,Santos Tour Down Under
