SEGMENT,RACE,CLIMB,year,race,stage,summit,duplicate
https://www.strava.com/segments/5645711?filter=overall,Tour Langkawi 2018 Stage 5,Cameron Highlands,2018,tour de la langkawi,5,,0
https://www.strava.com/segments/20269003?filter=overall,Tour Langkawi 2020 Stage 4,Genting Highlands,2020,tour de la langkawi,4,,0
https://www.strava.com/segments/7400863?filter=overall,Tour de Provence 2020 Stage 3,Chalet Reynard,2020,tour de la provence,3,1,0
https://www.strava.com/segments/1168427?filter=overall,Tour of Provence 2019 Stage 3,Le Brulat,2019,tour de la provence,3,,0
https://www.strava.com/segments/4866926?filter=overall,Tour of Provence 2019 Stage 2,Route des Cretes,2019,tour de la provence,2,,0
https://www.strava.com/segments/644707?filter=overall,Tour de l'Ain 2020 Stage 3,Grand Colombier,2020,tour de l'ain,3,1,0
https://www.strava.com/segments/21370870?filter=overall,Tour de l'Avenir 2019 Stage 9,Tignes,2019,tour de l'avenir,9,,0
https://www.strava.com/segments/20627657?filter=overall,Tour de Pologne 2020 Stage 4,Bukowina Tatrzanska,2020,tour de pologne,4,,0
https://www.strava.com/segments/17511433?filter=overall,Romandie 2018 Stage 4,Les Collons,2018,tour de romandie,4,,0
https://www.strava.com/segments/4968206?filter=overall,Romandie 2019 Stage 4,Torgon,2019,tour de romandie,4,,0
https://www.strava.com/segments/24772789?filter=overall,Tour de Suisse 2017 Stage 6,Albulapass,2017,tour de suisse,6,,0
https://www.strava.com/segments/14726966?filter=overall,Tour de Suisse 2018 Stage 7,Arosa,2018,tour de suisse,7,,0
https://www.strava.com/segments/835800?filter=overall,Tour of Switzerland 2019 Stage 2,Chuderhusi,2019,tour de suisse,2,,0
https://www.strava.com/segments/19632503?filter=overall,Tour of Switzerland 2019 Stage 6,Flumserberg,2019,tour de suisse,6,1,0
https://www.strava.com/segments/18557968?filter=overall,Tour of Switzerland 2019 Stage 9,Furkapass,2019,tour de suisse,9,,0
https://www.strava.com/segments/4130247?filter=overall,Tour de Suisse 2018 Stage 5,Leukerbad,2018,tour de suisse,5,,0
https://www.strava.com/segments/1410659?filter=overall,Tour of Switzerland 2019 Stage 7,San Gottardo,2019,tour de suisse,7,,0
https://www.strava.com/segments/18708348?filter=overall,Tour de Suisse 2017 Stage 7,Solden,2017,tour de suisse,7,,0
https://www.strava.com/segments/17040810?filter=overall,Tour de Suisse 2017 Stage 4,Villars sur Orlon,2017,tour de suisse,4,,0
https://www.strava.com/segments/7117276?filter=overall,Tour du Haut Var 2020 Stage 2,Col d'Eze,2020,tour des alpes maritimes et du var,2,,0
https://www.strava.com/segments/997459?filter=overall,Tour du Haut Var 2020 Stage 3,Mont Faron,2020,tour des alpes maritimes et du var,3,,0
https://www.strava.com/segments/4262951?filter=overall,Tour of Oman 2018 Stage 4,Al Amarat,2018,tour of oman,4,,0
https://www.strava.com/segments/994454?filter=overall,Tour of Oman 2018 Stage 2,Al Jissah,2018,tour of oman,2,,0
https://www.strava.com/segments/1001346?filter=overall,Tour of Oman 2018 Stage 5,Green Mountain,2018,tour of oman,5,1,0
https://www.strava.com/segments/20393312?filter=overall,Tour of Slovenia 2019 Stage 4,Predmeja,2019,tour of slovenia,4,,0
https://www.strava.com/segments/1446036?filter=overall,Tour of Alps 2018 Stage 2,Alto di Pampeago,2018,tour of the alps ,2,0,0
https://www.strava.com/segments/23957661?filter=overall,Tour of Alps 2018 Stage 4,Bannberg,2018,tour of the alps ,4,0,0
https://www.strava.com/segments/5732839?filter=overall,Tour of Alps 2019 Stage 2,Jaufenpass,2019,tour of the alps ,2,0,0
https://www.strava.com/segments/11619213?filter=overall,Tour of Alps 2018 Stage 4,Olympia Innsbruck,2018,tour of the alps ,4,0,0
https://www.strava.com/segments/11120788?filter=overall,Tour of Alps 2018 Stage 3,Passo Palade,2018,tour of the alps ,3,0,0
https://www.strava.com/segments/20255192?filter=overall,Tour of Alps 2019 Stage 5,San Genesio,2019,tour of the alps ,5,0,0
https://www.strava.com/segments/12619197?filter=overall,Tour of Alps 2018 Stage 1,Serrada,2018,tour of the alps ,1,0,0
https://www.strava.com/segments/9557239?filter=overall,Trofeo Andratx 2020,Puig Major,2019,trofeo andratx - lloseta,1,0,0
https://www.strava.com/segments/5983041?filter=overall,Tramuntana 2020,Coll den Bleda,2020,trofeo serra de tramuntana,1,,0
https://www.strava.com/segments/682675?filter=overall,UAE Tour 2020 Stage 5,Jebel Hafeet,2020,uae tour,5,1,0
https://www.strava.com/segments/19687966?filter=overall,UAE Tour 2019 Stage 6,Jebel Jais,2019,uae tour,6,1,0
https://www.strava.com/segments/682675?filter=overall,UAE Tour 2020 Stage 3,Jebel Hafeet,2020,uae tour,3,1,1
https://www.strava.com/segments/682675?filter=overall,UAE Tour 2019 Stage 3,Jebel Hafeet,2020,uae tour,3,1,1
https://www.strava.com/segments/16711062?filter=overall,Valenciana 2018 Stage 4,Canteras,2018,volta a la comunitat valenciana,4,,0
https://www.strava.com/segments/5387521?filter=overall,Volta a la Communitat Valenciana 2020 Stage 2,Cullera,2020,volta a la comunitat valenciana,2,,0
https://www.strava.com/segments/14386826?filter=overall,Valenciana 2019 Stage 4,Ermita Santa Lucia,2019,volta a la comunitat valenciana,4,,0
https://www.strava.com/segments/5729692?filter=overall,Volta a la Communitat Valenciana 2020 Stage 4,Puerto de Bernia,2020,volta a la comunitat valenciana,4,,0
https://www.strava.com/segments/665090?filter=overall,Volta ao Algarve 2020 Stage 2,Alto de Foia,2020,volta ao algarve em bicicleta,2,1,0
https://www.strava.com/segments/5151361?filter=overall,Volta ao Algarve 2020 Stage 4,Malhao,2020,volta ao algarve em bicicleta,4,1,0
https://www.strava.com/segments/4997713?filter=overall,Catalonia Stage 3 2019,La Molina,2019,volta ciclista a catalunya,3,1,0
https://www.strava.com/segments/11706617?filter=overall,Volta Catalonia 2018 Stage 7,Montjuic,2018,volta ciclista a catalunya,7,,0
https://www.strava.com/segments/5610777?filter=overall,Catalonia Stage 4 2019,Vallter 2000 Setcases,2019,volta ciclista a catalunya,4,1,0
https://www.strava.com/segments/5151361?filter=overall,Volta Algarve Stage 5 2019,Malhao,2019,volta ao algarve em bicicleta,5,1,1
https://www.strava.com/segments/5151361?filter=overall,Volta Algarve Stage 5 2018,Malhao,2018,volta ao algarve em bicicleta,5,1,1
https://www.strava.com/segments/5151361?filter=overall,Volta Algarve Stage 5 2017,Malhao,2017,volta ao algarve em bicicleta,5,1,1
https://www.strava.com/segments/665090?filter=overall,Volta Algarve Stage 2 2019,Alto de Foia,2019,volta ao algarve em bicicleta,2,1,1
