RIDER,HIGH,LOW,BET365,BETWAY,BWIN,UNIBET
Marco Haller,501,251,401,251,,501
Marcus Burghardt,501,251,401,251,,501
Piet Allegaert,501,251,501,251,,501
Timo Roosen,501,251,251,501,301,251
Damien Gaudin,501,301,301,501,,
Baptiste Planckaert,501,401,401,501,,401
Dimitri Claeys,501,401,401,501,,
Evaldas Šiškevicius,501,401,401,501,,
Guillaume Van Keirsbulck,501,401,501,501,,401
Imanol Erviti,501,401,401,501,,
Ramon Sinkeldam,501,401,401,501,,
Yoann Offredo,501,401,401,501,,
Alexander Edmondson,501,501,501,501,,
Jasper De Buyst,501,501,501,501,,501
Kaden-Grooves,501,501,,501,,
Lukas Pöstlberger,501,501,501,501,,
Lukasz Wisniowski,501,501,501,501,,501
Marcel Sieberg,501,501,501,501,,
Michael-Carbel,501,501,,501,,
Scott Thwaites,501,501,501,501,,
Taco-Van-Der-Hoon,501,501,,501,,
Taco Van Der Hoon,501,501,501,,,
Iljo Keisse,601,101,601,101,,501
Frederik Backaert,601,151,601,151,,
Stijn Steels,601,251,601,251,,601
Timothy Dupont,601,401,601,,,401
Corné Van Kessel,601,501,601,501,,601
Davide Martinelli,601,501,601,501,,601
Dion Smith,601,501,601,501,,601
Edoardo Affini,601,501,601,501,,601
Jack Bauer,601,501,601,501,,
Jenthe Biermans,601,501,601,501,,
Jonas Rickaert,601,501,601,501,,601
José Joaquín Rojas,601,501,601,501,,
Jos Van Emden,601,501,601,501,,601
Lawrence Naesen,601,501,601,501,,
Maarten Wynants,601,501,601,501,,
Mathieu Ladagnous,601,501,601,501,,
Michael Schär,601,501,601,501,,
Mitchell Docker,601,501,601,501,,
Nikolas Maes,601,501,601,501,,
Nils Eekhoff,601,501,601,501,,501
Christopher Juul-Jensen,601,601,601,,,
Marco Marcato,601,601,601,,,
Nelson Oliveira,601,601,601,,,601
Pascal Eenkhoorn,601,601,601,,,
Salvatore Puccio,601,601,601,,,
Laurens De Vreese,751,151,751,151,,
Alberto Dainese,751,501,751,501,,601
Alexander Konychev,751,501,751,501,,
Alexander Krieger,751,501,751,501,,
Boy Van Poppel,751,501,751,501,,
Cyril Lemoine,751,501,751,501,,
Davide Cimolai,751,501,751,501,,501
Francisco Ventoso,751,501,751,501,,
Gianni Vermeersch,751,501,751,501,,
Johan Jacobs,751,501,751,501,,
Johan Le Bon,751,501,751,501,,
Jonathan Dibben,751,501,751,501,,
Koen De Kort,751,501,751,501,,601
Lasse Norman Hansen,751,501,751,501,,
Max Kanter,751,501,751,501,,
Nathan Van Hooydonck,751,501,751,501,,
Reinardt Janse Van Rensburg,751,501,751,501,,601
Sven Erik Bystrøm,751,501,751,501,,601
Kaden Grooves,751,751,751,,,
Robert Stannard,751,751,751,,,
Julien Vermote,801,101,601,101,,801
Jonas Van Genechten,801,501,751,501,,801
Kenneth Van Bilsen,801,501,751,501,,801
Andreas Stokbro,1001,501,1001,501,,
Clément Russo,1001,501,1001,501,,
Gabriel Cullaigh,1001,501,1001,501,,
Gijs Van Hoecke,1001,501,1001,501,,801
Michael Van Staeyen,1001,501,1001,501,,
Roy Jans,1001,501,1001,501,,801
Travis Mc Cabe,1001,501,1001,501,,
Jesper Asselman,1001,510,1001,510,,
Michael Carbel,1501,1501,1501,,,
